	name	organization	url	url of their twitter	updated twitter account link	predicted twitter ID	candidates											
28	Tomáš Hodaň	Research Scientist at Reality Labs	https://scholar.google.com/citations?hl=en&user=GD_VE9oAAAAJ	https://twitter.com/tomhodan	https://twitter.com/tomhodan	tomhodan	tomhodan											
29	Mudit Agrawal	"PhD, University of Maryland, College Park"	https://scholar.google.com/citations?hl=en&user=4CDW-OwAAAAJ	N/A	N/A	muditagrawal37	2mudit	mudit_agrwal	mudit236	MuditAg29651496	mudit_2128	mudit_ag12	muditagrawal37	mdtagr12	agrwlmudit			
30	Souvik Hazra	Infineon Technologies	https://scholar.google.com/citations?hl=en&user=p2xud0cAAAAJ	N/A	N/A	souvikhazra47	SouvikH16295997	737hazra	SouvikH87574084	SouHaz	hazra_79	souvikh04524495	Souvikhazra99	souvikhazra47	souvik_hazra	SouvikHazra78		
31	Christopher G. Lucas	University of Edinburgh	https://scholar.google.com/citations?hl=en&user=KS4uI1sAAAAJ	N/A	N/A	chris_d_lucas	chris_d_lucas	edinburghimmuno										
32	Simon Wells	"Lecturer, Edinburgh Napier University"	https://scholar.google.com/citations?hl=en&user=NJ4EZFwAAAAJ	https://twitter.com/simonwells	https://twitter.com/simonwells	simonwells	simonwells	SimonWellsLDN	SimonWells7	simonwells61	SiWells	swells80	MilkMonitor79	simjimwells	SimonWells_17	sllewnomis		
33	Moin Nadeem	Massachusetts Institute of Technology	https://scholar.google.com/citations?hl=en&user=elGHiKkAAAAJ	https://twitter.com/moinnadeem	https://twitter.com/moinnadeem	moinnadeem	moinnadeem	MIT	NadeemMoin12	NadeeMOIN	NadeemMoin15	MoinNadeem3	MoinNadeem1	NadeemMoin13	MoinNadeem2	Moinnadem		
34	Krystian Wojtkiewicz	Wrocław University of Science and Technology	https://scholar.google.com/citations?hl=en&user=WMy_WZEAAAAJ	https://twitter.com/skokrys	https://twitter.com/skokrys	N/A												
35	Augusto Gerolin	"Marie Skłodowska-Curie Fellow, Vrije Universiteit Amsterdam"	https://scholar.google.com/citations?hl=en&user=gG-ud6AAAAAJ	https://twitter.com/agerolin	https://twitter.com/agerolin	hmcphersonmp	hmcphersonmp											
36	Gaurav Sukhatme	"Professor and Fletcher Jones Endowed Chair, Departments of Computer Science and Electrical"	https://scholar.google.com/citations?hl=en&user=lRUi-A8AAAAJ	https://twitter.com/gauravsukhatme	https://twitter.com/gauravsukhatme	gauravsukhatme	gauravsukhatme	uscresl										
37	Lihi Zelnik-Manor	Technion - Israel Institute of Technology	https://scholar.google.com/citations?hl=en&user=E_ejWvYAAAAJ	https://twitter.com/OrnaKl	https://twitter.com/OrnaKl	N/A												
38	Jawad AlKhateeb	Taibah University	https://scholar.google.com/citations?hl=en&user=D1EV1c0AAAAJ	https://twitter.com/jawad_alkhatib	https://twitter.com/jawad_alkhatib	N/A												
39	Yunzhou Zhang	Northeastern University	https://scholar.google.com/citations?hl=en&user=PtIbZbEAAAAJ	N/A	N/A	N/A												
40	Giona Matasci	MDA	https://scholar.google.com/citations?hl=en&user=zZFmhagAAAAJ	N/A	N/A	N/A												
41	Othman Soufan	"Assistant Professor of Computer Science, St. Francis Xavier University"	https://scholar.google.com/citations?hl=en&user=9m0mYYEAAAAJ	https://twitter.com/OthmanSoufan	https://twitter.com/OthmanSoufan	OthmanSoufan	OthmanSoufan											
42	Dr.rer. nat. Ksenia Bittner	Research Scientist at German Aerospace Center (DLR)	https://scholar.google.com/citations?hl=en&user=oPr46YIAAAAJ	N/A	N/A	N/A												
43	Junqing Wei	PhD candidate of ECE in Carnegie Mellon Univ.	https://scholar.google.com/citations?hl=en&user=RWFdg-gAAAAJ	N/A	N/A	jaykinWei	jaykinWei											
44	Leonid Sigal	"Associate Professor, University of British Columbia"	https://scholar.google.com/citations?hl=en&user=P2mG6rcAAAAJ	N/A	N/A	N/A												
45	Gerda Bortsova	Erasmus MC	https://scholar.google.com/citations?hl=en&user=Tn-U6psAAAAJ	https://twitter.com/gbortsova	https://twitter.com/gbortsova	gbortsova	gbortsova											
46	Guangxing Bai	Research Assistant	https://scholar.google.com/citations?hl=en&user=PYrbUdsAAAAJ	N/A	N/A	N/A												
47	David Stockwell	Central Queensland University	https://scholar.google.com/citations?hl=en&user=ItN6tJ4AAAAJ	N/A	N/A	stockwelldavid0	stockwelldavid0	mickwelli	suitablyswell	davids99us	davidstockwell0	DavidRStockwell	djstockwell	DavidStockwel12	stockwell_david	DavidStockwell5		
48	Emily Dinan	"Research Engineer, Facebook"	https://scholar.google.com/citations?hl=en&user=pfqzHqUAAAAJ	https://twitter.com/em_dinan	https://twitter.com/em_dinan	em_dinan	em_dinan	Amilli_Dinan	amilli_dinan									
49	messaoud ramdani	"Assistant Professor of Automatic Control, Badji-Mokhtar Annaba University"	https://scholar.google.com/citations?hl=en&user=9bQWehoAAAAJ	N/A	N/A	N/A												
50	Shiaw-Shian Yu	"General Director, Industrial Technolgy Research Institute"	https://scholar.google.com/citations?hl=en&user=1c7Hl4oAAAAJ	N/A	N/A	N/A												
51	Senthil Radhakrishnan	University of California Santa Barbara	https://scholar.google.com/citations?hl=en&user=uzcIzdsAAAAJ	N/A	N/A	RKRadhakrishn	koblinskilab	Dukeneurosurg	senthilr14	RKRadhakrishn	dukeneurosurg	KoblinskiLab	srkias2012					
52	Michael Goin	"Software Engineer, Neural Magic"	https://scholar.google.com/citations?hl=en&user=YfmwSv8AAAAJ	N/A	N/A	MichaelAGoin	neuralmagic	Quantum_Stat	MichaelAGoin	robertshaw21	michaelgoin	idogedochiptune	shroud	itwasexile	MJMcKean	LilyPichu		
