	name	organization	url	url of their twitter	updated twitter account link	predicted twitter ID	candidates											
127	Giuseppe Rizzo	LINKS Foundation	https://scholar.google.com/citations?hl=en&user=1pG7J3cAAAAJ	https://twitter.com/giusepperizzo	https://twitter.com/giusepperizzo	giusepperizzo	giusepperizzo	giusepperizzov	Grrrizzo	grizzoschettino	GiftDidThat	gpp_rizzo	bepper875	r1zz0	giusepperizzo_s	rizzotwett		
128	Rudi Schäfer	"Privatdozent für Physik, Universität Duisburg-Essen"	https://scholar.google.com/citations?hl=en&user=IIRkH3UAAAAJ	N/A	N/A	N/A												
129	Kyuyeon Hwang	"Siri, Apple"	https://scholar.google.com/citations?hl=en&user=ebMDwfsAAAAJ	N/A	N/A	N/A												
130	Xi Sheryl Zhang	"Institute of Automation, Chinese Academy of Sciences"	https://scholar.google.com/citations?hl=en&user=2rI0LRoAAAAJ	https://twitter.com/sheryl_zx	https://twitter.com/sheryl_zx	sheryl_zx	sheryl_zx											
131	Omar Nasr	"Cairo University, Faculty of Engineering"	https://scholar.google.com/citations?hl=en&user=7Qvf8TAAAAAJ	N/A	N/A	N/A												
132	Naveen Shankar Nagaraja	"Senior Machine Learning Engineer, BMW Group"	https://scholar.google.com/citations?hl=en&user=TP-_rb0AAAAJ	N/A	N/A	nsn86	nsn86											
133	Nattiya Kanhabua	Digital Labs at SCG	https://scholar.google.com/citations?hl=en&user=ydcgV2oAAAAJ	https://twitter.com/nattiyak	https://twitter.com/nattiyak	nattiyak	nattiyak											
134	Xiaocheng Tang (唐小程)	"Staff Scientist and Team Lead, DiDi Labs Mountain View"	https://scholar.google.com/citations?hl=en&user=fSrzDjIAAAAJ	https://twitter.com/xiaochengtang	https://twitter.com/xiaochengtang	xiaochengtang	xiaochengtang											
135	Kye-Hyeon Kim	Superb AI Inc.	https://scholar.google.com/citations?hl=en&user=PbMZ0lQAAAAJ	N/A	N/A	eche_unist	eche_unist	superb_hq	rlarpgus18									
136	Callum L. Stewart	"PhD Student, King's College London"	https://scholar.google.com/citations?hl=en&user=lqWSomAAAAAJ	N/A	N/A	callumjstewart	zulqarnain_rd	CallumCStewart	stewartintheory	Callum_Stewart	callumjstewart	callumstewart_	callum_cricinfo	stewart_sec	callumstew95	callum_stewartx		
137	Boyu Chen	Dalian University of Technology	https://scholar.google.com/citations?hl=en&user=o5wjqPEAAAAJ	N/A	N/A	boyu1106	boyu1106	Chenzhang_	chenboyu1	ozzzzzp	boyu_chen1	baby_chennn	stwvL27uzsmmYnD					
138	Hai Wan	Sun Yat-sen University	https://scholar.google.com/citations?hl=en&user=ORaFwCsAAAAJ	N/A	N/A	zaozaowh	zaozaowh	hai_wan	WanHai_	HaiHentai	diksiawan	haiwan66673924	haiQal_7777	HaiSemuaa	WanHai38723704	SamTunWanHai2		
139	Hongyu Miao	University of Texas Health Science Center at Houston	https://scholar.google.com/citations?hl=en&user=q-_yDP0AAAAJ	N/A	N/A	hongyumiao	hongyumiao											
140	Adrià Garriga-Alonso	University of Cambridge	https://scholar.google.com/citations?hl=en&user=OtnThiMAAAAJ	N/A	N/A	adrigarriga	adrigarriga											
141	Yihe Tang	Carnegie Mellon University	https://scholar.google.com/citations?hl=en&user=8MFUNQUAAAAJ	N/A	N/A	N/A												
142	James Sharpnack	UC Davis Statistics Department	https://scholar.google.com/citations?hl=en&user=cXhAfX0AAAAJ	https://twitter.com/jsharpna	https://twitter.com/jsharpna	jsharpna	jsharpna											
143	Chloé Clavel	Telecom-ParisTech	https://scholar.google.com/citations?hl=en&user=TAZbfksAAAAJ	https://twitter.com/ChloeDClavel	https://twitter.com/ChloeDClavel	ChloeDClavel	ChloeDClavel	clavel_chloe	ChloeCluse	ClavelChloe	ChloeClavel	ChloeClavel1	clocloascb	chloe_clavel	ClavelChlo2	ClavelChlo1		
144	Junhua Mao	Waymo Inc.	https://scholar.google.com/citations?hl=en&user=j_RaW-QAAAAJ	N/A	N/A	AmbLiJunhua	AmbLiJunhua											
145	Yimin Yang	Florida International University	https://scholar.google.com/citations?hl=en&user=zZ5Sud8AAAAJ	N/A	N/A	yang_yihming	yang_yihming	Mariosa_Com	yiminyang	yiming_yang	IESR_Jinan	jamesyym	yiming09					
146	Jinkyoo Park	"Department of Industrial and Systems Engineering, KAIST"	https://scholar.google.com/citations?hl=en&user=sH2a0nkAAAAJ	N/A	N/A	N/A												
147	Tian Lan	George Washington University	https://scholar.google.com/citations?hl=en&user=OWF5r18AAAAJ	N/A	N/A	taranlan	taranlan	TLan_OChemLover	_TianLan7	tian_lan_firm	tianfenlan	TianLan_Noah	TianLanHaiZi	lant817	TianLan34950117	djBf16phtLBERN7		
148	Dhafar Hamed Abd	Al-Maaref University College	https://scholar.google.com/citations?hl=en&user=7f62phQAAAAJ	N/A	N/A	hamed00939013	businessinsider	hamed00939013	dhaferx	huzane	InsuranceDhofar	insurancedhofar	jnmet					
149	Stéphane Valente	Prophesee	https://scholar.google.com/citations?hl=en&user=Y6mo_C4AAAAJ	N/A	N/A	stephane_auvin	stephane_auvin	StevieV_	stefan_valente	Biomech_MDPI	lucasth57360380	EefjeAppel						
150	Kazuo Ishii	"Professor, Department of Applied Information Engineering, Suwa University of Science"	https://scholar.google.com/citations?hl=en&user=FJo4CP0AAAAJ	https://twitter.com/kazuoishii1	https://twitter.com/kazuoishii1	kazuoishii5	kazuoishii5	issan56	kazuoishii1	sekainoboss	Nakayasee	japanprogramfrs						
151	Feng Wu 吴枫	University of Science and Technology of China	https://scholar.google.com/citations?hl=en&user=5bInRDEAAAAJ	N/A	N/A	tI50t6AcSc0RaZL	tI50t6AcSc0RaZL											
152	Robert Andrews	"Senior Research Fellow, Queensland University of Technology"	https://scholar.google.com/citations?hl=en&user=ffknJrMAAAAJ	N/A	N/A	DrRobAndrews	DrRobAndrews	Rob_Olsen	robertandrews	NewsEdRobA	reason_itself	andrews_robb	niscaffolding	coachrobandrews	roberrttoa	Iambobbyandrews		
153	Mariano Rincón	"artificial intelligence, UNED"	https://scholar.google.com/citations?hl=en&user=-h078YIAAAAJ	N/A	N/A	MarianoRincon1	MarianoRincon1	PedroAguilar62	ReHDi_Co	Alafont2011	isabelorecas	juditvegaa	mariano_08	rinconmarianom	mariandalesio	playgroundideas		
154	C. H. Garcia-Capulin	Universidad de Guanajuato	https://scholar.google.com/citations?hl=en&user=w15pM4YAAAAJ	N/A	N/A	ElCapulinAO	diegokirui	CAP770509	LaloGreen	ElCapulinAO								
155	Jean Morrison	"Assistant Professor, Biostatistics"	https://scholar.google.com/citations?hl=en&user=r6fNZ6cAAAAJ	https://twitter.com/jeanv_morrison	https://twitter.com/jeanv_morrison	jeanv_morrison	jeanv_morrison	jhsiao999	MorrisonJean1	theparkerlab	WTan_Historian	xinhe2	JeanMHeadrick	jeanfmorrison	FindYOUwiTHIN	morrisonjean1		
156	Ahmed F. Rabbi	Senior Engineer	https://scholar.google.com/citations?hl=en&user=lkN1OMwAAAAJ	N/A	N/A	N/A												
157	Ramazan Aygun	Kennesaw State University	https://scholar.google.com/citations?hl=en&user=E19URRIAAAAJ	N/A	N/A	kennesawstate	kennesawstate											
158	ILYAS CICEKLI	Hacettepe University	https://scholar.google.com/citations?hl=en&user=Q1tqCDQAAAAJ	N/A	N/A	N/A												
159	Jobst Landgrebe	Managing director at Cognotekt GmbH	https://scholar.google.com/citations?hl=en&user=cFMVHwoAAAAJ	https://mobile.twitter.com/JobstLandgrebe	https://mobile.twitter.com/JobstLandgrebe	privacy	privacy											
160	Haoyan Huo	"Department of Material Science and Engineering, University of California at Berkeley"	https://scholar.google.com/citations?hl=en&user=s7pKPacAAAAJ	N/A	N/A	N/A												
161	David Bellamy	"PhD Candidate in Epidemiology, Harvard University"	https://scholar.google.com/citations?hl=en&user=IZ-cCF4AAAAJ	https://twitter.com/DavidRBellamy	https://twitter.com/DavidRBellamy	N/A												
162	Hang Yin	"PhD student, IST, University of Lisbon and EPFL"	https://scholar.google.com/citations?hl=en&user=7VW7URUAAAAJ	N/A	N/A	N/A												
163	Marko Miladinović	"University of Niš, Faculty of Sciences and Mathematics, Serbia"	https://scholar.google.com/citations?hl=en&user=wUNd1iwAAAAJ	N/A	N/A	N/A												
164	Hannah Rae Kerner	"Assistant Research Professor, University of Maryland at College Park"	https://scholar.google.com/citations?hl=en&user=g5CD7dQAAAAJ	https://twitter.com/hannah_kerner	https://twitter.com/hannah_kerner	hannah_kerner	hannah_kerner											
165	Weiya Chen	Huazhong University of Science and Technology	https://scholar.google.com/citations?hl=en&user=RqFaL50AAAAJ	N/A	N/A	N/A												
166	Hsiu-Chin Lin	"Assistant Professor, McGill University"	https://scholar.google.com/citations?hl=en&user=ZJo2sPEAAAAJ	N/A	N/A	N/A												
167	Ala Suliman	University of New Brunswick	https://scholar.google.com/citations?hl=en&user=CLmEKc4AAAAJ	N/A	N/A	N/A												
168	Luis Weruaga	CTO at proactivaudio GmbH	https://scholar.google.com/citations?hl=en&user=6yZDBUgAAAAJ	N/A	N/A	N/A												
169	Alan Kennedy	Ulster University	https://scholar.google.com/citations?hl=en&user=zM-RbGIAAAAJ	https://twitter.com/AlanKennedyTJ	https://twitter.com/AlanKennedyTJ	AlanKennedyTJ	AlanKennedyTJ	Alan_Kennedy3	alanfletcher	AEAKennedy	MRKennedy2574	AlanKennedyttm	albykennedy	alankennedy86	Aljeron	alanmkennedy		
170	Xiaopeng Chen	"Associate Professor, Beijing Institute of Technology,Visiting Scholar, Carnegie Mellon University,"	https://scholar.google.com/citations?hl=en&user=f0lfcCAAAAAJ	N/A	N/A	N/A												
171	Motoki Shiga	"Associate Professor, Gifu University, Japan"	https://scholar.google.com/citations?hl=en&user=E6-2toevLjgC	https://twitter.com/mk_Shiga	https://twitter.com/mk_Shiga	mk_Shiga	mk_Shiga											
172	Ilja Zakharov	Institute for System Programming of RAS	https://scholar.google.com/citations?hl=en&user=nvAuJScAAAAJ	N/A	N/A	N/A												
173	Praveenraj Pattar	Assistant Professor	https://scholar.google.com/citations?hl=en&user=nWJRB9oAAAAJ	N/A	N/A	Praveenraj3537	Praveenraj3537											
174	Shahrani Shahbudin	Senior Lecturer of Computer Engineering Universiti Teknologi MARA	https://scholar.google.com/citations?hl=en&user=yTMasZsAAAAJ	N/A	N/A	N/A												
175	Akhil Arora	EPFL <= Xerox Research <= IIT Kanpur	https://scholar.google.com/citations?hl=en&user=uCrGCckAAAAJ	https://mobile.twitter.com/aroraakhilcs	https://mobile.twitter.com/aroraakhilcs	aroraakhilcs	aroraakhilcs											
176	Victor Kulikov	Picsart Inc.	https://scholar.google.com/citations?hl=en&user=9WmuhUcAAAAJ	N/A	N/A	N/A												
177	Alexey Karpov	St. Petersburg Federal Research Center of the Russian Academy of Sciences (SPC RAS)	https://scholar.google.com/citations?hl=en&user=Q0C3f1oAAAAJ	N/A	N/A	N/A												
178	Luchen Tan	University of Waterloo	https://scholar.google.com/citations?hl=en&user=X1DJkzEAAAAJ	https://twitter.com/LuchenTan	https://twitter.com/LuchenTan	N/A												
179	Shuo Zhou	Research Fellow at the University of Melbourne	https://scholar.google.com/citations?hl=en&user=KXqAC8sAAAAJ	N/A	N/A	N/A												
180	Hyunjung Shim	"Associate Professor, Yonsei University"	https://scholar.google.com/citations?hl=en&user=KB5XZGIAAAAJ	N/A	N/A	N/A												
181	Pedro Larrañaga	Professor of Artificial Intelligence - Technical University of Madrid	https://scholar.google.com/citations?hl=en&user=iTlD56SV03AC	https://twitter.com/larranagapedro	https://twitter.com/larranagapedro	grupocig_upm	grupocig_upm											
182	Pavel Blinov	Sber Artificial Intelligence Laboratory	https://scholar.google.com/citations?hl=en&user=WosQ1PAAAAAJ	N/A	N/A	N/A												
183	Limin Yao	"Wealthfront, Twitter, Umass Amherst"	https://scholar.google.com/citations?hl=en&user=1FtOcrMAAAAJ	N/A	N/A	YaoLimin	YaoLimin											
184	Erkki Luuk	Unknown affiliation	https://scholar.google.com/citations?hl=en&user=3JSc8DUAAAAJ	N/A	N/A	erkki_luuk	erkki_luuk											
185	Huy Pham	Aarhus University	https://scholar.google.com/citations?hl=en&user=lDuf0tAAAAAJ	N/A	N/A	N/A												
186	Hongyi Xu	Assistant Professor at Univ. of Connecticut. Previous: Ford R&A; '14 PhD from Northwestern Univ.	https://scholar.google.com/citations?hl=en&user=xjvn4xgAAAAJ	https://twitter.com/researchxu	https://twitter.com/researchxu	N/A												
187	Christian Penaloza	Advanced Telecommunications Research Institute - Mirai Innovation Research Institute	https://scholar.google.com/citations?hl=en&user=HMs9iiYAAAAJ	https://twitter.com/penalozajapan	https://twitter.com/penalozajapan	chpesa	chpesa											
188	D. Sculley	"Google, Inc."	https://scholar.google.com/citations?hl=en&user=l_O64B8AAAAJ	N/A	N/A	N/A												
189	Katriona Goldmann	"PhD Student, Queen Mary University London"	https://scholar.google.com/citations?hl=en&user=xZMNpDgAAAAJ	https://mobile.twitter.com/_katriona	https://mobile.twitter.com/_katriona	_katriona	_katriona											
190	Леонид Александрович Гращенко	Институт математики Академии наук Республики Таджикистан	https://scholar.google.com/citations?hl=en&user=Wl55bVwAAAAJ	N/A	N/A	N/A												
191	Ioannis Konstantelos	Research Fellow at Imperial College London	https://scholar.google.com/citations?hl=en&user=BUuMLugAAAAJ	https://twitter.com/ioankonstant	https://twitter.com/ioankonstant	IoanKonstant	IoanKonstant											
192	Ricardo Muñoz-Cancino	PhD(c) - University of Chile	https://scholar.google.com/citations?hl=en&user=9qZn8B8AAAAJ	N/A	N/A	N/A												
193	Akio Tomiya	RIKEN-BNL	https://scholar.google.com/citations?hl=en&user=LKVqy_wAAAAJ	https://twitter.com/akiotomiya	https://twitter.com/akiotomiya	AkioTomiya	AkioTomiya	TomiyaAkio	akio_physics									
194	Jinlan Fu	National University of Singapore	https://scholar.google.com/citations?hl=en&user=D4vtw8QAAAAJ	https://twitter.com/jinlanfu	https://twitter.com/jinlanfu	jinlanfu	jinlanfu											
195	Manish Singh	IMS Engineering College Ghaziabad	https://scholar.google.com/citations?hl=en&user=H_52KDcAAAAJ	N/A	N/A	N/A												
196	Patryk Jarnot	Silesian University of Technology	https://scholar.google.com/citations?hl=en&user=0PqkR4AAAAAJ	N/A	N/A	N/A												
197	Xian Sun	"Aerospace Information Research Institute, Chinese Academy of Sciences"	https://scholar.google.com/citations?hl=en&user=xWKPHDYAAAAJ	N/A	N/A	N/A												
198	Aleksandra Cerekovic	Walmart Global Tech	https://scholar.google.com/citations?hl=en&user=M3_f4UQAAAAJ	N/A	N/A	N/A												
199	Kaibin Huang	"Associate Professor, Dept. of EEE, The University of Hong Kong; IEEE Fellow"	https://scholar.google.com/citations?hl=en&user=HfuA3uIAAAAJ	N/A	N/A	N/A												
200	Marco Lützenberger	DAI-Labor	https://scholar.google.com/citations?hl=en&user=3m2amFQAAAAJ	https://twitter.com/berlinLuetze	https://twitter.com/berlinLuetze	jiacnews	jiacnews	luetzenberger	berlinLuetze									
201	Swanti Satsangi Gupta	Indian Institute of Science	https://scholar.google.com/citations?hl=en&user=IspJCWQAAAAJ	N/A	N/A	N/A												
202	Mushtaq Raza	AWKUM	https://scholar.google.com/citations?hl=en&user=Ev0qyW4AAAAJ	https://twitter.com/uomian49	https://twitter.com/uomian49	uomian49	uomian49	RazaMushtaq_27	Mushtaq94014584	MushtakPanhalk1	mushtaq_greece	Mushtaq84644260	mushtaqraza41	Mushtaq32424248	AliRazaMushtaq6	Mohamma01911698		
203	Cameron Gray	"School of Computer Science and Electronic Engineering, Bangor University"	https://scholar.google.com/citations?hl=en&user=6hwgE1EAAAAJ	N/A	N/A	daveshorts	daveshorts	Cameron_Gray	parabola	cammyjee	LoLoGrayDC	camerondgray	camerongray1515	AllisonCGray	jcamerongray	CamGray16		
204	Sokratis Vavilis	Eindhoven University of Technology	https://scholar.google.com/citations?hl=en&user=UrsCuWcAAAAJ	https://twitter.com/SokratisVav	https://twitter.com/SokratisVav	SokratisVav	SokratisVav											
205	Muh Arif Rahman	Lab komputasi Cerdas Fakultas Ilmu Komputer	https://scholar.google.com/citations?hl=en&user=PYPVMEUAAAAJ	N/A	N/A	muh_tkjarifjie	muh_tkjarifjie	callmearief	arifrahman____	MSSDota	Arifrahman____	arievrahman	adaroz	teamsecret				
206	Malek Sarhani	Hamburg University	https://scholar.google.com/citations?hl=en&user=8MnaFUkAAAAJ	https://twitter.com/MalekSarhani	https://twitter.com/MalekSarhani	maleksarhani	maleksarhani											
207	Olli Lahdenoja	"Ph.D., Senior Researcher at University of Turku and Research Scientist at Precordior Ltd."	https://scholar.google.com/citations?hl=en&user=PazJWEYAAAAJ	N/A	N/A	UniTurku	UniTurku											
208	Bhaskar D Gowda	Intel Corporation	https://scholar.google.com/citations?hl=en&user=VQrbtyAAAAAJ	N/A	N/A	bhaskargnaidu	bhaskargnaidu											
209	Martin Urschler	"School of Computer Science, University of Auckland, New Zealand"	https://scholar.google.com/citations?hl=en&user=HKLMeBIAAAAJ	N/A	N/A	N/A												
210	Surya Kalia	Indian Institute of Technology Delhi	https://scholar.google.com/citations?hl=en&user=Us9aVAoAAAAJ	https://twitter.com/KaliaSurya	https://twitter.com/KaliaSurya	KaliaSurya	KaliaSurya	KaliaSa90444701										
211	Elias Wang	Stanford University	https://scholar.google.com/citations?hl=en&user=KPOjuP0AAAAJ	https://twitter.com/eliaszwang	https://twitter.com/eliaszwang	eliaszwang	eliaszwang	elecalion	Eliashahang	ChangElias	3liAswang	EliasWang3	EliasWang51	JackyElias37	Elias_GolfWang	ProphetElias_W		
212	Jeffrey Flanigan	"Assistant Professor, University of California Santa Cruz"	https://scholar.google.com/citations?hl=en&user=XpIsORcAAAAJ	N/A	N/A	flannymlb	ucsc_nlp_ms	flannymlb										
213	Osama Abdel Raouf	"Professor, faculty of computers and information, Menoufia university"	https://scholar.google.com/citations?hl=en&user=xG7ls08AAAAJ	N/A	N/A	oelbahr	alwasatengnews	BasmalOsama	sci_en	EgyptTodayMag	egygazette	oelbahr						
214	mohd naved	"Aligarh Muslim University, Aligarh"	https://scholar.google.com/citations?hl=en&user=aRI1-zoAAAAJ	https://twitter.com/MohdNaved	https://twitter.com/MohdNaved	mohdnavedkhan	mohdnavedkhan	MohdNaved	Naved0999	MohdNav13499387	MohdN95	MohdNav11155152	MohdNavedKhan18	MohdNav95816347	mohdnc2	MohdNaved7872		
215	Fei Xu	"PhD of Electrical Engineering, Tsinghua University. Software Engineering at Google"	https://scholar.google.com/citations?hl=en&user=2VunVGIAAAAJ	N/A	N/A	FeiXu37321288	FeiXu37321288	feixu37321288	sophiatsinghua	xuf12	feixu29	xufei_eng	feixufrancois	orgxu	matter_cp			
216	Charles Madeira	"Assistant Professor, Universidade Federal do Rio Grande do Norte"	https://scholar.google.com/citations?hl=en&user=UnKwaRcAAAAJ	N/A	N/A	CharlesMadeir13	John_T1000	CharlesMadeir13										
217	supawadee chaivivatrakul	"Information Technology, Agriculture Faculty, Ubon Ratchathani University, Thailand"	https://scholar.google.com/citations?hl=en&user=N29lFQEAAAAJ	N/A	N/A	N/A												
218	Samuel Kadoury	Polytechnique Montreal	https://scholar.google.com/citations?hl=en&user=HOov_S8AAAAJ	N/A	N/A	polymtl	polymtl											
219	David Widemann	"Researcher, Lawrence Livermore National Laboratory"	https://scholar.google.com/citations?hl=en&user=D3Y_j68AAAAJ	N/A	N/A	BARworkxberlin	BARworkxberlin	wideman_david	barworkxberlin	davidwideman4	davidwideman	wiedav						
220	Atsuhiko BANNO	National Institute of Advanced Industrial Science and Technology	https://scholar.google.com/citations?hl=en&user=z0_GAGgAAAAJ	N/A	N/A	arai01robo	yukky_saito	mr2t_aist	arai01robo	amy_tabb	jumpjoe78							
221	Zhouxia Wang	Sun Yat-sen University	https://scholar.google.com/citations?hl=en&user=JWds_bQAAAAJ	N/A	N/A	imbingwang	imbingwang											
222	Benjamin J Ainscough	Washington University in Saint Louis	https://scholar.google.com/citations?hl=en&user=XryIpIQAAAAJ	https://twitter.com/b_ains	https://twitter.com/b_ains	b_ains	b_ains	benjani26	ainscoughben	ainscough_ben	benains	giverneya						
223	Wesley Snyder	"Professor of Electrical and Computer Engineering, NCSU"	https://scholar.google.com/citations?hl=en&user=I6L2ZnwAAAAJ	N/A	N/A	365DaysOfDisney	365DaysOfDisney	365daysofdisney	esnyder16	wesleysnyder	thewesleysnyder	sneijder101010						
224	"William R. Gray-Roncal, Ph.D."	Johns Hopkins University Applied Physics Laboratory	https://scholar.google.com/citations?hl=en&user=54lnkjAAAAAJ	https://twitter.com/WillGrayRoncal	https://twitter.com/WillGrayRoncal	N/A												
225	Debarghya Ghoshdastidar	Technical University of Munich	https://scholar.google.com/citations?hl=en&user=Kp-enVQAAAAJ	N/A	N/A	pm_esser	pm_esser	maha81193	UlrikeLuxburg									
226	Vivek Joshi	"GLOBALFOUNDRIES, University of Michigan"	https://scholar.google.com/citations?hl=en&user=fCpa384AAAAJ	https://twitter.com/vivek_jj	https://twitter.com/vivek_jj	vivekjoshi75	vivek_jj	persilientvj	vivek1924	qc2chdback2qc	Vivek_Joshi_87	vivekjoshi75	viveckjoshi	printf_vivekj	vjoshical	vivekjoshi13		
227	Ialis Cavalcante de Paula Junior	"Computer Engineering, Federal University of Ceará - Sobral Campus"	https://scholar.google.com/citations?hl=en&user=GfUVRy8AAAAJ	N/A	N/A	CialisBravo	ialis_me	CialisBravo	juggstorecowboy	jenny_cialis	JCialis	ciarafaye27	evil_egirl	cialisp	cialis_news	dutch_kib		
228	Davide Gazzè	Prometeia	https://scholar.google.com/citations?hl=en&user=z4IR-aoAAAAJ	N/A	N/A	davidegazze	82_Vinnie	davidegazze										
229	Raj Bridgelall	"Technology Executive and Principal Investigator, North Dakota State University"	https://scholar.google.com/citations?hl=en&user=bV5JU7QAAAAJ	https://twitter.com/RajBridgelall	https://twitter.com/RajBridgelall	RajBridgelall	RajBridgelall	RajBridgelall6	RajBridgelall2	RajBridgelall3	RajBridgelall8	RajBridgelall7	raj_bridgelall	RajBridgelall1	BridgelallRaj	RajBridgelall4		
230	"Jun Cheng, PhD"	"School of Biomedical Engineering, Shenzhen University, China"	https://scholar.google.com/citations?hl=en&user=e9yrvHEAAAAJ	https://twitter.com/jun90cheng	https://twitter.com/jun90cheng	N/A												
231	Tiago Santana de Nazare	Universidade de São Paulo	https://scholar.google.com/citations?hl=en&user=F-LovigAAAAJ	N/A	N/A	N/A												
232	Aznul Qalid Md Sabri	"Department of Artificial Intelligence, Faculty of Computer Science & IT, University Malaya"	https://scholar.google.com/citations?hl=en&user=oX5-84kAAAAJ	N/A	N/A	N/A												
233	Francesco Bagagli	"Department of Physics, Pisa University - Intecs SPA"	https://scholar.google.com/citations?hl=en&user=8ba7BWEAAAAJ	N/A	N/A	N/A												
234	Iskandar Sitdikov	IBM Quantum	https://scholar.google.com/citations?hl=en&user=isCe0IgAAAAJ	N/A	N/A	qiskit	qiskit											
235	congjian wang	"Computational Nuclear Scientist, Idaho National Lab"	https://scholar.google.com/citations?hl=en&user=_2RO3TcAAAAJ	N/A	N/A	jasonworg	jasonworg											
236	Zhiguang Liu	Huawei Technologies	https://scholar.google.com/citations?hl=en&user=g8QaB9wAAAAJ	N/A	N/A	angela_tiwi	angela_tiwi	hrbmba9										
237	Indar Sugiarto	"Petra Christian University, Technische Universität München, The University of Manchester"	https://scholar.google.com/citations?hl=en&user=nQr4VywAAAAJ	N/A	N/A	indrasugiarto_	indrasugiarto_	indrasugiarto										
238	Sergio Murillo	Wi-Tronix	https://scholar.google.com/citations?hl=en&user=y-igeWMAAAAJ	N/A	N/A	sergiomurillo_2	hiimsergio	sergiomurillo_2	sermurillo	murillo	muricor	sergemurillo	seddgy	SergioMuMe	sergiojmurillo			
239	Wen-Sheng Chu	"Research Scientist, Google"	https://scholar.google.com/citations?hl=en&user=R-OrlSgAAAAJ	N/A	N/A	ak92501	ak92501											
240	Gideon Daniel Philipp Alfred Aschwanden	University of Melbourne	https://scholar.google.com/citations?hl=en&user=rGYe5fIAAAAJ	N/A	N/A	N/A												
241	Xiaojuan Qi	"Assistant Professor, The University of Hong Kong"	https://scholar.google.com/citations?hl=en&user=bGn0uacAAAAJ	https://twitter.com/qi_xiaojuan	https://twitter.com/qi_xiaojuan	xiaojuanqi	_xwen_	ctnhkbu	xiaojuanqi									
242	Zhuchang Zhan	"Phd, Massachusetts Institute of Technology"	https://scholar.google.com/citations?hl=en&user=gGJ6jtMAAAAJ	https://twitter.com/ZhuchangZ	https://twitter.com/ZhuchangZ	ZhuchangZ	rachfreed	ZhuchangZ										
243	Marcos Rodrigues	Sheffield Hallam University	https://scholar.google.com/citations?hl=en&user=2UTJ7KQAAAAJ	N/A	N/A	sheffhallamuni	sheffhallamuni											
244	Thibault Févry	Point72	https://scholar.google.com/citations?hl=en&user=QjeNAUEAAAAJ	https://twitter.com/iwontbecreative	https://twitter.com/iwontbecreative	iwontbecreative	iwontbecreative											
245	Yanqing Chen	Stony Brook University	https://scholar.google.com/citations?hl=en&user=9GncT08AAAAJ	N/A	N/A	N/A												
246	Stefan Wager	"Graduate School of Business, Stanford University"	https://scholar.google.com/citations?hl=en&user=_koixUEAAAAJ	N/A	N/A	stanfordnlp	stanfordnlp	h2oai	b0e82d6d776c488	imus_us	WomenInStat	gsbsilab	stefanleviw	deaneckles	nikosignatiadis	sem_tsinghua		
247	Rajendra Panda	"Geosystems Research Institute, Mississippi State University, USA"	https://scholar.google.com/citations?hl=en&user=0lJpXSsAAAAJ	N/A	N/A	hpc2msu	hpc2msu											
248	Ji Hyung Hong	"College of Medicine, The Catholic University of Korea"	https://scholar.google.com/citations?hl=en&user=_Z5wpjkAAAAJ	https://twitter.com/SuddenHonG	https://twitter.com/SuddenHonG	hongji_world	hongji_world	JihyunReadsYAL	Laurarous	silly_symphony	jihyunradonc	kdramatreats						
249	Yuliang Guo	Robert Bosch LLC - Research and Technology Center	https://scholar.google.com/citations?hl=en&user=CP-YkUwAAAAJ	N/A	N/A	YuliangGuo3	YuliangGuo3											
250	Dang Tu Nguyen	University of California Riverside	https://scholar.google.com/citations?hl=en&user=EDCkvfYAAAAJ	N/A	N/A	Tunguyen242	jacs_au	sytu10	phchong17970414	wolfwolfwolf97	RyanNguyenHC	TuhamsteruT	tutu1242000	Tunguyen242	Twitter	dongatory		
251	Jimmy Charnley Kromann	Novartis	https://scholar.google.com/citations?hl=en&user=6tGe1DQAAAAJ	https://twitter.com/jckromann	https://twitter.com/jckromann	jckromann	jckromann	imprint.html	articles	using-twitter	en	privacy	tos					
252	Yuxin Chen	Data scientist at Wayfair	https://scholar.google.com/citations?hl=en&user=K3a1CskAAAAJ	N/A	N/A	yuxinch	yuxinch	psuchen	chenyx04	yuxinchen14								
253	Maria Dimakopoulou	"Senior Research Scientist, Netflix - Stanford University"	https://scholar.google.com/citations?hl=en&user=ySLrpsYAAAAJ	N/A	N/A	MariaKaterini	MariaKaterini	tonyjebara	himan_abd	yvesm67070676	mariakaterini	dimakopoulou	wimlworkshop	amy8492				
254	Ashvin Nair	UC Berkeley	https://scholar.google.com/citations?hl=en&user=BsOkXDsAAAAJ	https://twitter.com/ashvinair	https://twitter.com/ashvinair	ashvinair	ashvinair											
255	Yonghao Xu	Institute of Advanced Research in Artificial Intelligence (IARAI)	https://scholar.google.com/citations?hl=en&user=sQs2ztAAAAAJ	https://twitter.com/YonghaoXu1	https://twitter.com/YonghaoXu1	YonghaoXu1	YonghaoXu1	yonghao_xu	yexing12345	Ssaakkiiy	xu_yonghao	GhamisiPedram	AnaTurcan1	yu_yonghao				
256	Qingtian Zhang	"PhD in Computer Science, Tsinghua University"	https://scholar.google.com/citations?hl=en&user=7aAIE6MAAAAJ	N/A	N/A	qingtian_zhang	qingtian_zhang											
