	name	organization	url	url of their twitter	updated twitter account link	predicted twitter ID	candidates									
33	Moin Nadeem	Massachusetts Institute of Technology	https://scholar.google.com/citations?hl=en&user=elGHiKkAAAAJ	https://twitter.com/moinnadeem	https://twitter.com/moinnadeem	moinnadeem	moinnadeem									
34	Krystian Wojtkiewicz	Wrocław University of Science and Technology	https://scholar.google.com/citations?hl=en&user=WMy_WZEAAAAJ	https://twitter.com/skokrys	https://twitter.com/skokrys	skokrys	skokrys									
35	Augusto Gerolin	"Marie Skłodowska-Curie Fellow, Vrije Universiteit Amsterdam"	https://scholar.google.com/citations?hl=en&user=gG-ud6AAAAAJ	https://twitter.com/agerolin	https://twitter.com/agerolin	HMcPhersonMP	HMcPhersonMP									
36	Gaurav Sukhatme	"Professor and Fletcher Jones Endowed Chair, Departments of Computer Science and Electrical"	https://scholar.google.com/citations?hl=en&user=lRUi-A8AAAAJ	https://twitter.com/gauravsukhatme	https://twitter.com/gauravsukhatme	gauravsukhatme	gauravsukhatme	USCRESL								
37	Lihi Zelnik-Manor	Technion - Israel Institute of Technology	https://scholar.google.com/citations?hl=en&user=E_ejWvYAAAAJ	https://twitter.com/OrnaKl	https://twitter.com/OrnaKl	SSIMARomania	SSIMARomania									
38	Jawad AlKhateeb	Taibah University	https://scholar.google.com/citations?hl=en&user=D1EV1c0AAAAJ	https://twitter.com/jawad_alkhatib	https://twitter.com/jawad_alkhatib	N/A	search									
39	Yunzhou Zhang	Northeastern University	https://scholar.google.com/citations?hl=en&user=PtIbZbEAAAAJ	N/A	N/A	YangVanilla	YangVanilla									
40	Giona Matasci	MDA	https://scholar.google.com/citations?hl=en&user=zZFmhagAAAAJ	N/A	N/A	irss_ubc	irss_ubc									
41	Othman Soufan	"Assistant Professor of Computer Science, St. Francis Xavier University"	https://scholar.google.com/citations?hl=en&user=9m0mYYEAAAAJ	https://twitter.com/OthmanSoufan	https://twitter.com/OthmanSoufan	othmansoufan	othmansoufan									
42	Dr.rer. nat. Ksenia Bittner	Research Scientist at German Aerospace Center (DLR)	https://scholar.google.com/citations?hl=en&user=oPr46YIAAAAJ	N/A	N/A	N/A										
43	Junqing Wei	PhD candidate of ECE in Carnegie Mellon Univ.	https://scholar.google.com/citations?hl=en&user=RWFdg-gAAAAJ	N/A	N/A	jaykinWei	jaykinWei									
44	Leonid Sigal	"Associate Professor, University of British Columbia"	https://scholar.google.com/citations?hl=en&user=P2mG6rcAAAAJ	N/A	N/A	N/A	UBC_CS	ubc_cs	kwangmoo_yi	UofTCompSci						
45	Gerda Bortsova	Erasmus MC	https://scholar.google.com/citations?hl=en&user=Tn-U6psAAAAJ	https://twitter.com/gbortsova	https://twitter.com/gbortsova	gbortsova	gbortsova									
46	Guangxing Bai	Research Assistant	https://scholar.google.com/citations?hl=en&user=PYrbUdsAAAAJ	N/A	N/A	N/A	MidWestTC									
47	David Stockwell	Central Queensland University	https://scholar.google.com/citations?hl=en&user=ItN6tJ4AAAAJ	N/A	N/A	yinghongzhou	yinghongzhou									
48	Emily Dinan	"Research Engineer, Facebook"	https://scholar.google.com/citations?hl=en&user=pfqzHqUAAAAJ	https://twitter.com/em_dinan	https://twitter.com/em_dinan	em_dinan	em_dinan									
49	messaoud ramdani	"Assistant Professor of Automatic Control, Badji-Mokhtar Annaba University"	https://scholar.google.com/citations?hl=en&user=9bQWehoAAAAJ	N/A	N/A	N/A										
50	Shiaw-Shian Yu	"General Director, Industrial Technolgy Research Institute"	https://scholar.google.com/citations?hl=en&user=1c7Hl4oAAAAJ	N/A	N/A	N/A										
51	Senthil Radhakrishnan	University of California Santa Barbara	https://scholar.google.com/citations?hl=en&user=uzcIzdsAAAAJ	N/A	N/A	koblinskilab	koblinskilab									
52	Michael Goin	"Software Engineer, Neural Magic"	https://scholar.google.com/citations?hl=en&user=YfmwSv8AAAAJ	N/A	N/A	N/A										
53	Benny Lo	Imperial College London	https://scholar.google.com/citations?hl=en&user=zRd3g5cAAAAJ	https://twitter.com/bennyplo	https://twitter.com/bennyplo	N/A										
54	"Muhammad R Abid, Assistant Professor"	"Florida Polytechnic University, Lakeland, Florida, USA"	https://scholar.google.com/citations?hl=en&user=OwX8elAAAAAJ	N/A	N/A	FLPolyU	FLPolyU									
55	David S. Batista	Senior NLP Engineer - Comtravo GmbH	https://scholar.google.com/citations?hl=en&user=-tRNGd0AAAAJ	https://twitter.com/davidsbatista	https://twitter.com/davidsbatista	DavidSBatista	DavidSBatista									
56	hasan nasiri	Imam Khomeini International University	https://scholar.google.com/citations?hl=en&user=DXAPymYAAAAJ	N/A	N/A	amirarsalan_sha	amirarsalan_sha	hasan_nasiri90	HasanNasiri16	hasan_nassiri	naessiri45	nacirih12	HassanNasiri3	mardanqom		
57	Yang Gao	"Nanjing University, China"	https://scholar.google.com/citations?hl=en&user=k0jjQo8AAAAJ	N/A	N/A	gytyw	gytyw									
