	name	organization	url	url of their twitter	updated twitter account link																															
27	Roman Hornung	"University of Munich, Institute for Medical Information Processing, Biometry, and Epidemiology"	https://scholar.google.com/citations?hl=en&user=BXflckQAAAAJ	https://twitter.com/hornungroman	https://twitter.com/hornungroman	hornungroman	HornungRoman	BoulesteixLaure																												
28	Tomáš Hodaň	Research Scientist at Reality Labs	https://scholar.google.com/citations?hl=en&user=GD_VE9oAAAAJ	https://twitter.com/tomhodan	https://twitter.com/tomhodan	tomhodan	lingnima	_abenbihi																												
29	Mudit Agrawal	"PhD, University of Maryland, College Park"	https://scholar.google.com/citations?hl=en&user=4CDW-OwAAAAJ	N/A	N/A	muditagrawal37	mudit_aggarwal	Mudit_Agrwal	mudit_ag_	2mudit	2mudit	2mudit	2mudit	MuditAg29651496	agrwlmudit																					
30	Souvik Hazra	Infineon Technologies	https://scholar.google.com/citations?hl=en&user=p2xud0cAAAAJ	N/A	N/A	souvik_hazra	Souvikhazra99	SouvikHazra47	SouvikHazra47	souvikh04524495	souvikh04524495	hazra_79	hazra_79	SouvikH16295997	SouHaz																					
31	Christopher G. Lucas	University of Edinburgh	https://scholar.google.com/citations?hl=en&user=KS4uI1sAAAAJ	N/A	N/A	chrislucas96	ichrislucas	chrisethanlucas	TophLucas	cfhistorynerd	chriscolbutler	lucasg_nyr	agreeg	SamuelGarcin																						
32	Simon Wells	"Lecturer, Edinburgh Napier University"	https://scholar.google.com/citations?hl=en&user=NJ4EZFwAAAAJ	https://twitter.com/simonwells	https://twitter.com/simonwells	simonwells7	simonwells7	simonwells7	simonwells7	simjimwells	swells80	SiWells	SiWellsy																							
33	Moin Nadeem	Massachusetts Institute of Technology	https://scholar.google.com/citations?hl=en&user=elGHiKkAAAAJ	https://twitter.com/moinnadeem	https://twitter.com/moinnadeem	moinnadeem																														
34	Krystian Wojtkiewicz	Wrocław University of Science and Technology	https://scholar.google.com/citations?hl=en&user=WMy_WZEAAAAJ	https://twitter.com/skokrys	https://twitter.com/skokrys	skokrys																														
35	Augusto Gerolin	"Marie Skłodowska-Curie Fellow, Vrije Universiteit Amsterdam"	https://scholar.google.com/citations?hl=en&user=gG-ud6AAAAAJ	https://twitter.com/agerolin	https://twitter.com/agerolin	agerolin	HMcPhersonMP	uottawaresearch																												
36	Gaurav Sukhatme	"Professor and Fletcher Jones Endowed Chair, Departments of Computer Science and Electrical"	https://scholar.google.com/citations?hl=en&user=lRUi-A8AAAAJ	https://twitter.com/gauravsukhatme	https://twitter.com/gauravsukhatme	gauravsukhatme	sukhatmegaurav	gbambawale	uscresl	USCRESL																										
37	Lihi Zelnik-Manor	Technion - Israel Institute of Technology	https://scholar.google.com/citations?hl=en&user=E_ejWvYAAAAJ	https://twitter.com/OrnaKl	https://twitter.com/OrnaKl	technionusa	SSIMARomania																													
38	Jawad AlKhateeb	Taibah University	https://scholar.google.com/citations?hl=en&user=D1EV1c0AAAAJ	https://twitter.com/jawad_alkhatib	https://twitter.com/jawad_alkhatib	jawad_alkhatib	juicyjd65	jorj1968	search																											
39	Yunzhou Zhang	Northeastern University	https://scholar.google.com/citations?hl=en&user=PtIbZbEAAAAJ	N/A	N/A	YangVanilla	IRENA																													
40	Giona Matasci	MDA	https://scholar.google.com/citations?hl=en&user=zZFmhagAAAAJ	N/A	N/A	irss_ubc																														
41	Othman Soufan	"Assistant Professor of Computer Science, St. Francis Xavier University"	https://scholar.google.com/citations?hl=en&user=9m0mYYEAAAAJ	https://twitter.com/OthmanSoufan	https://twitter.com/OthmanSoufan	othmansoufan	OthmanSoufan																													
42	Dr.rer. nat. Ksenia Bittner	Research Scientist at German Aerospace Center (DLR)	https://scholar.google.com/citations?hl=en&user=oPr46YIAAAAJ	N/A	N/A																															
43	Junqing Wei	PhD candidate of ECE in Carnegie Mellon Univ.	https://scholar.google.com/citations?hl=en&user=RWFdg-gAAAAJ	N/A	N/A	jaykinWei																														
44	Leonid Sigal	"Associate Professor, University of British Columbia"	https://scholar.google.com/citations?hl=en&user=P2mG6rcAAAAJ	N/A	N/A	lrjconan	lenntraveller	brundagebot	Michael_J_Black	csprofkgd	UofTCompSci	i	ubc_cs	CSProfKGD	kwangmoo_yi																					
45	Gerda Bortsova	Erasmus MC	https://scholar.google.com/citations?hl=en&user=Tn-U6psAAAAJ	https://twitter.com/gbortsova	https://twitter.com/gbortsova	gbortsova																														
46	Guangxing Bai	Research Assistant	https://scholar.google.com/citations?hl=en&user=PYrbUdsAAAAJ	N/A	N/A	midwesttc																														
47	David Stockwell	Central Queensland University	https://scholar.google.com/citations?hl=en&user=ItN6tJ4AAAAJ	N/A	N/A	davidstockwell0	davidrstockwell	DavidStockwell1	djstockwell	stockwelldavid0	mickwelli	davids99us	suitablyswell																							
48	Emily Dinan	"Research Engineer, Facebook"	https://scholar.google.com/citations?hl=en&user=pfqzHqUAAAAJ	https://twitter.com/em_dinan	https://twitter.com/em_dinan	em_dinan	em14626	MetaAI	ai__pub																											
49	messaoud ramdani	"Assistant Professor of Automatic Control, Badji-Mokhtar Annaba University"	https://scholar.google.com/citations?hl=en&user=9bQWehoAAAAJ	N/A	N/A	musadbet																														
50	Shiaw-Shian Yu	"General Director, Industrial Technolgy Research Institute"	https://scholar.google.com/citations?hl=en&user=1c7Hl4oAAAAJ	N/A	N/A																															
51	Senthil Radhakrishnan	University of California Santa Barbara	https://scholar.google.com/citations?hl=en&user=uzcIzdsAAAAJ	N/A	N/A	RKRadhakrishn	senthilr14	senthilnayagam	srkias2012	koblinskilab	KoblinskiLab	dukeneurosurg																								
52	Michael Goin	"Software Engineer, Neural Magic"	https://scholar.google.com/citations?hl=en&user=YfmwSv8AAAAJ	N/A	N/A	michaelgoin	MichaelAGoin	michaelsb	michaeltolcher	idogedochiptune	dicksonneoh7	neuralmagic	only1bigmeech	genius	msutyak																					
53	Benny Lo	Imperial College London	https://scholar.google.com/citations?hl=en&user=zRd3g5cAAAAJ	https://twitter.com/bennyplo	https://twitter.com/bennyplo	benny_lo	bennyluo	bennyplo	sirbennylo	bennyfine	smileygirlbenny	lopaksau	ModiseJC																							
54	"Muhammad R Abid, Assistant Professor"	"Florida Polytechnic University, Lakeland, Florida, USA"	https://scholar.google.com/citations?hl=en&user=OwX8elAAAAAJ	N/A	N/A	AbidShamim2	FLPolyU																													
55	David S. Batista	Senior NLP Engineer - Comtravo GmbH	https://scholar.google.com/citations?hl=en&user=-tRNGd0AAAAJ	https://twitter.com/davidsbatista	https://twitter.com/davidsbatista	DavidSBatista																														
56	hasan nasiri	Imam Khomeini International University	https://scholar.google.com/citations?hl=en&user=DXAPymYAAAAJ	N/A	N/A																															
57	Yang Gao	"Nanjing University, China"	https://scholar.google.com/citations?hl=en&user=k0jjQo8AAAAJ	N/A	N/A	YangGao99	gyang_21	Yang_Aotearoa	gao_young	AlexGaoYang	inamkhan26	gby12009	gytyw	hisussa	truebluegy																					
58	"Adrienne Grzenda, MD, PhD"	"UCLA/DGSOM & UCLA/OVMC, HS Clinical Assistant Professor of Psychiatry"	https://scholar.google.com/citations?hl=en&user=DjdQ2s8AAAAJ	https://twitter.com/agrzendamdphd	https://twitter.com/agrzendamdphd	AGrzendaMDPHD																														
59	Nathaniel Odell	"Postdoctoral researcher, High Energy Physics, Northwestern University"	https://scholar.google.com/citations?hl=en&user=mq7PhfsAAAAJ	N/A	N/A	NathanielODell2	nathanieljohn23	NathanielThaGr8	nateburleson	MakersofSport	obj																									
60	Yujia Xie	"Researcher in machine learning, Microsoft"	https://scholar.google.com/citations?hl=en&user=r2FiAE4AAAAJ	N/A	N/A	yujiaxie	xieyujia000	XieXieyujia	RLtheory																											
61	Anup Parikh	Sandia National Laboratories	https://scholar.google.com/citations?hl=en&user=FC8lFhQAAAAJ	N/A	N/A	aparikhmd	parikh_anup	AParikhMD	AnupMeetsWorld																											
62	Zied Bouraoui	"Professor of Computer Science, CRIL CNRS & Artois University"	https://scholar.google.com/citations?hl=en&user=f_6RpYEAAAAJ	N/A	N/A	bouraoui_zied																														
63	Alexandru Cristian Mara	"PhD Candidate, Ghent University"	https://scholar.google.com/citations?hl=en&user=Vx-o-igAAAAJ	N/A	N/A	BadiuAlexandru																														
64	Parag Namjoshi	Uber	https://scholar.google.com/citations?hl=en&user=hltYPm0AAAAJ	https://twitter.com/paragnamjoshi	https://twitter.com/paragnamjoshi	paragnamjoshi																														
65	Chayan Halder	"Assistant Professor, Ramakrishna Mission Vivekananda Centenary College, Rahara"	https://scholar.google.com/citations?hl=en&user=RusSh00AAAAJ	N/A	N/A	chayanhalder19	chayanh92894641	chayanh92894641	chayanh92894641	chayanshuvendu	chayan_oo7	ChayanH51470588	ChayanH51470588	ChayanH51470588																						
66	Amir Sadovnik	"Assistant Professor of Computer Science, University of Tennessee"	https://scholar.google.com/citations?hl=en&user=OBuu9_YAAAAJ	N/A	N/A	uthumanitiesctr	LafayetteVision	LynnLHodge	utkteachered																											
67	Eduardo Valle	"Faculty of Electrical and Computing Engineering (FEEC), University of Campinas (UNICAMP)"	https://scholar.google.com/citations?hl=en&user=lxWPqWAAAAAJ	https://twitter.com/dreavjr	https://twitter.com/dreavjr	_eduardo_valle	eduardojvalle	endson_valle	evalle88	guayitovalle	eddyvallelobo	Eduardo85411230	kevin_valle0108	capricornva87	dreavjr																					
68	Filip Korzeniowski	Pandora Media	https://scholar.google.com/citations?hl=en&user=p7rD9oMAAAAJ	https://twitter.com/fdelamuerte	https://twitter.com/fdelamuerte	filipkorzen																														
69	Lingni Ma	Facebook Reality Labs	https://scholar.google.com/citations?hl=en&user=eUAgpwkAAAAJ	N/A	N/A	lingnima	rigas_kous	tomhodan	csprofkgd																											
70	Dean Slawson	"VP Advanced Technology, PointClickCare"	https://scholar.google.com/citations?hl=en&user=91uZDo0AAAAJ	N/A	N/A	deanslawson	andyslawson	beth_slawson	JoanneSlawson	AndySlawson	ShelbySlawson																									
71	Piotr Kozakowski	University of Warsaw	https://scholar.google.com/citations?hl=en&user=QkYiDCwAAAAJ	N/A	N/A	EmiliaKaminska																														
72	Fabio Cumbo	"Department of Cellular, Computational and Integrative Biology (CIBIO), University of Trento"	https://scholar.google.com/citations?hl=en&user=DJWJY7EAAAAJ	https://twitter.com/cumbofabio	https://twitter.com/cumbofabio	cumbofabio																														
73	Rosalia Maglietta	"Researcher, STIIMA, National Research Council"	https://scholar.google.com/citations?hl=en&user=wSm74SkAAAAJ	N/A	N/A	liamaglietta	rosaliainfoes	rosalia	crownsizehead	disclosure	captivexheartx	fentylewks	taylorsversion	Vido_Ehh																						
74	Yaochen Xie	"Ph.D. Student, Texas A&M University"	https://scholar.google.com/citations?hl=en&user=Xw3ZjnMAAAAJ	https://twitter.com/ethan_ycx	https://twitter.com/ethan_ycx	so_ethereal	So_Ethereal	search	ethan_ycx																											
75	Bingyi Cao	Google Research	https://scholar.google.com/citations?hl=en&user=7EeSOcgAAAAJ	N/A	N/A	BrundageBot																														
76	Brian Telfer	"Senior Staff Member, MIT Lincoln Laboratory"	https://scholar.google.com/citations?hl=en&user=LOElwBwAAAAJ	https://twitter.com/BrianTelfer5	https://twitter.com/BrianTelfer5	BrianDTelfer	brian_tctravel	Brian_TCtravel	AllMattNYT																											
77	Jose Alberto Perez Benitez	ESIME-SEPI-IPN	https://scholar.google.com/citations?hl=en&user=2i2TyJsAAAAJ	N/A	N/A	inf_entropy	UNAM_MX																													
78	Antonio Criminisi	Research Manager at Amazon	https://scholar.google.com/citations?hl=en&user=YHmzvmMAAAAJ	N/A	N/A	konstantina_pll	stwijnen	aleksahak	msftresearch	msftresearchcam																										
79	Yue Tong	"OSIsoft, LLC"	https://scholar.google.com/citations?hl=en&user=_JJHW0EAAAAJ	N/A	N/A	yuetong3yu	Yuetong_240294	yuetongqian	artofyuetong	sotongyuetong	yue_eveland	tongyue_ivy	polaaaaar	849773055																						
80	Gitta Kutyniok	"Bavarian AI Chair for Mathematical Foundations of Artificial Intelligence, LMU Munich"	https://scholar.google.com/citations?hl=en&user=JHs9LssAAAAJ	https://twitter.com/gittakutyniok	https://twitter.com/gittakutyniok	gittakutyniok	tum_mathematics	stephanhartma14	christophbrune	SpringerMath	DaSCI_es																									
81	Yinan Zhao	University of Texas at Austin	https://scholar.google.com/citations?hl=en&user=6Kyp7rQAAAAJ	N/A	N/A	zhaoyinan	stevenchao95	badhreat	TomOrlik																											
82	Moshe Lichman	Unknown affiliation	https://scholar.google.com/citations?hl=en&user=K7gF978AAAAJ	N/A	N/A	lichmanmo	LichmanMo	talschneider	shaalvim	ReturnAgainPod																										
83	Marta Galende	Researcher ID - CARTIF	https://scholar.google.com/citations?hl=en&user=t4HI79kAAAAJ	https://twitter.com/margal_cartif	https://twitter.com/margal_cartif	margal_cartif	Marian_Gallego	ptouya	transformtransp	disruptiveeu																										
84	Mahdad Eghbalian	"Postdoctoral Associate, University of Calgary"	https://scholar.google.com/citations?hl=en&user=BT-GEcUAAAAJ	N/A	N/A	MahdadEghbalian																														
85	Di You	Worcester Polytechnic Institute	https://scholar.google.com/citations?hl=en&user=uWFATKcAAAAJ	N/A	N/A	WPIAdmissions	wpi_odime	wpi_physics	wpi_ece	Twitter	WPICommencement	WPI_BME	WPI	FIRSTweets	en																					
86	Jerome Kodjabachian	Thales	https://scholar.google.com/citations?hl=en&user=OYto1KIAAAAJ	N/A	N/A																															
87	Stephen DiVerdi	Adobe	https://scholar.google.com/citations?hl=en&user=G8dMSvAAAAAJ	N/A	N/A	acmuist	bala_tk																													
88	Md Abdullah Al Hafiz Khan	"Assistant Professor, Department of Compute Science, Kennesaw State University"	https://scholar.google.com/citations?hl=en&user=JFZc5jYAAAAJ	https://twitter.com/ahafizk20	https://twitter.com/ahafizk20	ahafizk20	@ahafizk20																													
89	Gurunath Kedar-Dongarkar	Oakland University	https://scholar.google.com/citations?hl=en&user=JLTRU8UAAAAJ	N/A	N/A																															
90	Hamid Hamraz	Microsoft	https://scholar.google.com/citations?hl=en&user=4tPap1YAAAAJ	N/A	N/A	hamidhamraz2																														
91	David Begert	"Lead Machine Learning Engineer, Xtract ai"	https://scholar.google.com/citations?hl=en&user=iTUn4mUAAAAJ	N/A	N/A	d_begert																														
92	Scott Martin	Facebook	https://scholar.google.com/citations?hl=en&user=t2_BvUwAAAAJ	N/A	N/A	scottmartin85	scottcmartin	drscottamartin	ScottFMartin	Scott_MartinTV	smartin_scott	SenatorMartinPA	srmbass	hex																						
93	Mohammad Moradi	Young Researchers and Elite Club	https://scholar.google.com/citations?hl=en&user=nLm8zfQAAAAJ	https://twitter.com/moradideli	https://twitter.com/moradideli	2221mohammad	mohamma38829193	mohamma38829193	mohamma38829193	Mohamma98313465	moradideli	moradjava	noterfan	ISefati	ICHRI																					
94	Ali Saadon Al-Ogaili	Postdoctoral Researcher	https://scholar.google.com/citations?hl=en&user=JxMcRcwAAAAJ	N/A	N/A	saadonogaili																														
95	Michel Tokic	"Siemens AG, Munich"	https://scholar.google.com/citations?hl=en&user=IkrRAAIAAAAJ	N/A	N/A	micheltokic																														
96	Giovanni Acampora	"Professor in Computer Science, University of Naples Federico II"	https://scholar.google.com/citations?hl=en&user=VLpaWf8AAAAJ	https://twitter.com/g_acampora	https://twitter.com/g_acampora	giovanniacampo7	GiovanniAcampo7	GiovanniAcampo7	g_acampora	G_Acampora																										
97	Berdakh Abibullaev	"School of Engineering and Digital Sciences, Nazarbayev University"	https://scholar.google.com/citations?hl=en&user=KvECkz0AAAAJ	N/A	N/A																															
98	Xi Cheng	"Google, University of Washington"	https://scholar.google.com/citations?hl=en&user=3SSDRtoAAAAJ	https://twitter.com/xicheng33	https://twitter.com/xicheng33	xichengweek	xicheng_tian	cheng_xi07	XiCheng33	kaimingcheng	bchengphd	michaelchengly	xicelia	KaimingCheng	yunhefengit																					
99	Alexander Ihler	"University of California, Irvine"	https://scholar.google.com/citations?hl=en&user=ffdt7gMAAAAJ	N/A	N/A	ihlerhba	mcaleerstephen	IhlerHBA	meena_uvaca																											
100	Nassim Ammour	Associate Professor	https://scholar.google.com/citations?hl=en&user=2dHuim4AAAAJ	N/A	N/A	naslamenass																														
101	Eugenia Koblents	"Senior Machine Learning Scientist, United Technologies Research Center Ireland"	https://scholar.google.com/citations?hl=en&user=JDb-iDEAAAAJ	N/A	N/A																															
102	Luis Castillo	"Full Professor of Computer Science, University of Granada"	https://scholar.google.com/citations?hl=en&user=FJ6klX8AAAAJ	N/A	N/A	luisjrcastillo	sny_mets	Mariners	MLBNetwork	reds	GIADEugr	MLB																								
103	Shikhar Sharma	Microsoft	https://scholar.google.com/citations?hl=en&user=bLA7DYwAAAAJ	https://mobile.twitter.com/shikhar_warlock	N/A	shikhar_sharma	shikhar_sharma	shikhar_sharma	shikhar86541675	shikhar86541675	Hs37Shikhar	Shikhar92084669	Shikhar92084669	tweetshikhar	SamShikhar1616																					
104	Elaheh Homayounvala	"Senior Lecturer in Artificial Intelligence and Machine Learning, London Metropolitan University"	https://scholar.google.com/citations?hl=en&user=wCGEyNYAAAAJ	N/A	N/A																															
105	Lei Jia	Bristol Myers Squibb	https://scholar.google.com/citations?hl=en&user=RDkiwLIAAAAJ	N/A	N/A	leijiaxiang	LeijieJ	Liewjialei	babyfacejialei	ljhbryant	kanjianmusic	diberri	BabyFaceJiaLei	thunderbin	orangeasm																					
106	Han van der Aa	University of Mannheim	https://scholar.google.com/citations?hl=en&user=oFagE6cAAAAJ	https://twitter.com/hanvdaa	https://twitter.com/hanvdaa	hanvanderaa	hanvdaa	disolala																												
107	Jekang Park	Pusan National University	https://scholar.google.com/citations?hl=en&user=cJYVS80AAAAJ	N/A	N/A	Orojapan1	JepangSex18	kotaku	phsik_	thebluehouseeng	Muhamma24956498	Nita_Restia	maijadevine	hajimemashita_t																						
108	Long Zhou	Microsoft Research Asia	https://scholar.google.com/citations?hl=en&user=ZnwgSXIAAAAJ	N/A	N/A	longzhou	longzhou	long1024	zhoulong130013	katherinemzhou	geoff_p_wade	lunarkittycp	LettsScience																							
109	Sushant Patkar	"Artificial Intelligence Resource, Molecular Imaging Branch, NCI"	https://scholar.google.com/citations?hl=en&user=AsIX1JAAAAAJ	https://twitter.com/spatkar94	https://twitter.com/spatkar94	sushantpatkar3	spatkar94	Hosalikar_KS	AuslanderNoam	danielkbronder																										
110	Bai Zhang	"School of Medicine, The Johns Hopkins University"	https://scholar.google.com/citations?hl=en&user=iQHDZrgAAAAJ	https://twitter.com/baizhang	https://twitter.com/baizhang	gali_bai	PetriBaron	Walnut_Lurong	BohnJai	cdrama_mu	ChinaDaily	Hopkins_Rad	dramapotatoe	38jiejie	koeitecmous																					
111	Frank Moosmann	Daimler AG	https://scholar.google.com/citations?hl=en&user=5fcOE58AAAAJ	N/A	N/A	musiconvalley																														
112	Zengjian Hu	The Energy Authority	https://scholar.google.com/citations?hl=en&user=3BQIfMsAAAAJ	N/A	N/A	eSmart_Systems																														
113	Onur Atan	"University of California, Los Angeles"	https://scholar.google.com/citations?hl=en&user=iuRC7jgAAAAJ	https://twitter.com/onur_atan	https://twitter.com/onur_atan	10uratan	OnurAtan10	onrcnn62	onurcobankuyu	onurATAN	OnurErim_Eng	wolfzphd																								
114	Muhammad Imran	"Agriculture University, Peshawar"	https://scholar.google.com/citations?hl=en&user=03JQgaYAAAAJ	N/A	N/A	muhamma33255249	mimran15	Muhamma17934568	Muhamma17934568	realmimran14pk	roy_imran_pk	ImranTG1	mhdkhan7	imranazamshaikh	Prof_M_A_Imran																					
115	Konstantinos Demestichas	National Technical University of Athens	https://scholar.google.com/citations?hl=en&user=WmWbc0MAAAAJ	https://twitter.com/kdemestichas	https://twitter.com/kdemestichas	vehicles_mdpi	Carma_Project																													
116	Jose Segovia-Juarez	National Academy of Sciences of Peru	https://scholar.google.com/citations?hl=en&user=TYctETkAAAAJ	https://twitter.com/joselsegoviaj	https://twitter.com/joselsegoviaj	JoseLSegoviaJ	westtexkid	AFPgraphics																												
117	anirudh prabhu	Carnegie Institution for Science	https://scholar.google.com/citations?hl=en&user=IPqhTlYAAAAJ	https://twitter.com/Anirudh_14	https://twitter.com/Anirudh_14	anirudhprabhu3	anirudhprabhu3	anirudh_14	Anirudh_14	amrac	thetallnomad																									
118	Reinhard Rapp	University of Mainz	https://scholar.google.com/citations?hl=en&user=RVz6pI4AAAAJ	N/A	N/A	reinhardheinis1	redbowtiepiano	sarkodie	rcvryrox	alvations	jpschimel																									
119	S. Karthick	Research Scholar	https://scholar.google.com/citations?hl=en&user=3gBKdgIAAAAJ	N/A	N/A	skarthick2506	skarthick2506	skarthi18333435	karthiks	skarthickrasa2	karthickshan93	karthickeeemet	SKarthi33122251	SKarthi33122251	kar2512																					
