	name	organization	url	url of their twitter	updated twitter account link																															
120	Steffen Schnitzer	Technische Universität Darmstadt - Multimedia Communications Lab	https://scholar.google.com/citations?hl=en&user=bVekWzYAAAAJ	https://twitter.com/steffenms	N/A	steffenms																														
121	Ajith Pasqual	"Senior Lecturer, University of Moratuwa"	https://scholar.google.com/citations?hl=en&user=Q3N04jcAAAAJ	https://twitter.com/aapasqual	https://twitter.com/aapasqual	aapasqual	sanjiva	paraqum	JayathriW	nishansiriwarde	entc_uom																									
122	Arun Kaintura	K-Structura Consultancy	https://scholar.google.com/citations?hl=en&user=4GW4reUAAAAJ	N/A	N/A	arun_kaintura	arunjaitley	usambindia	ShekharGupta	cantione	desi_indian997	theofficialsbi																								
123	Timur Bagautdinov	Facebook Reality Labs Research	https://scholar.google.com/citations?hl=en&user=oLi7xJ0AAAAJ	https://twitter.com/psycharo	https://twitter.com/psycharo	neural_fields	psycharo	psyth91	Pycc87	pycc87																										
124	Gert van der Vloed	PhD in Cognitive Sciene	https://scholar.google.com/citations?hl=en&user=XVNVXVIAAAAJ	N/A	N/A	gertvandervloed																														
125	Fatemehsadat Tabei	Faculty @ West Texas A&M University	https://scholar.google.com/citations?hl=en&user=daJ-QtIAAAAJ	N/A	N/A																															
126	Ane Alberdi Aramendi	Researcher/Lecturer at Mondragon Unibertsitatea	https://scholar.google.com/citations?hl=en&user=9shNszYAAAAJ	N/A	N/A	ionaramendi																														
127	Giuseppe Rizzo	LINKS Foundation	https://scholar.google.com/citations?hl=en&user=1pG7J3cAAAAJ	https://twitter.com/giusepperizzo	https://twitter.com/giusepperizzo	giusepperizzo	giusepperizzosc	rizzopino	ym_rizz	joseph_out	RizzoPino																									
128	Rudi Schäfer	"Privatdozent für Physik, Universität Duisburg-Essen"	https://scholar.google.com/citations?hl=en&user=IIRkH3UAAAAJ	N/A	N/A	ajungherr	ddoniolvalcroze	thisguy	iwkg_luh	econochaos																										
129	Kyuyeon Hwang	"Siri, Apple"	https://scholar.google.com/citations?hl=en&user=ebMDwfsAAAAJ	N/A	N/A	Paraparaku																														
130	Xi Sheryl Zhang	"Institute of Automation, Chinese Academy of Sciences"	https://scholar.google.com/citations?hl=en&user=2rI0LRoAAAAJ	https://twitter.com/sheryl_zx	https://twitter.com/sheryl_zx	sherylzhang	sheryl_zx																													
131	Omar Nasr	"Cairo University, Faculty of Engineering"	https://scholar.google.com/citations?hl=en&user=7Qvf8TAAAAAJ	N/A	N/A	_omarnasr	_omarnasr	_omarnasr	_omarnasr	omarnas51135519	omarn94	moro98_nasr	omarzi14	AhmedNasr_	moro_code																					
132	Naveen Shankar Nagaraja	"Senior Machine Learning Engineer, BMW Group"	https://scholar.google.com/citations?hl=en&user=TP-_rb0AAAAJ	N/A	N/A	nagarajareddys	nsn86	m_chanti	arxiv_cs_lg	arxiv_cs_cv_pr																										
133	Nattiya Kanhabua	Digital Labs at SCG	https://scholar.google.com/citations?hl=en&user=ydcgV2oAAAAJ	https://twitter.com/nattiyak	https://twitter.com/nattiyak	nattiyak																														
134	Xiaocheng Tang (唐小程)	"Staff Scientist and Team Lead, DiDi Labs Mountain View"	https://scholar.google.com/citations?hl=en&user=fSrzDjIAAAAJ	https://twitter.com/xiaochengtang	https://twitter.com/xiaochengtang																															
135	Kye-Hyeon Kim	Superb AI Inc.	https://scholar.google.com/citations?hl=en&user=PbMZ0lQAAAAJ	N/A	N/A	eche_unist	superb_hq	rlarpgus18																												
136	Callum L. Stewart	"PhD Student, King's College London"	https://scholar.google.com/citations?hl=en&user=lqWSomAAAAAJ	N/A	N/A	CallumStewart16	CallumStewart16	CallumCStewart	caljamestewart	CallumBC123	cccoultas	robbo_casey	zulqarnain_rd	aaron_s51	cjs2401																					
137	Boyu Chen	Dalian University of Technology	https://scholar.google.com/citations?hl=en&user=o5wjqPEAAAAJ	N/A	N/A	boyuchen18	boyuchen18	Boyuchen9	boyu1106	chenboyu1	chuqing	maikende	finsentim	ozzzzzp																						
138	Hai Wan	Sun Yat-sen University	https://scholar.google.com/citations?hl=en&user=ORaFwCsAAAAJ	N/A	N/A	haiwancom	HaiwanDemor	JinHaiWan	wanwan4you	wanchain_org	container_news	zaozaowh	CrazyLtlBitch	serih12	uscgnorcal																					
139	Hongyu Miao	University of Texas Health Science Center at Houston	https://scholar.google.com/citations?hl=en&user=q-_yDP0AAAAJ	N/A	N/A	hongyumiao																														
140	Adrià Garriga-Alonso	University of Cambridge	https://scholar.google.com/citations?hl=en&user=OtnThiMAAAAJ	N/A	N/A	adrigarriga	heinzedeml	csilviavr																												
141	Yihe Tang	Carnegie Mellon University	https://scholar.google.com/citations?hl=en&user=8MFUNQUAAAAJ	N/A	N/A	taichitommy																														
142	James Sharpnack	UC Davis Statistics Department	https://scholar.google.com/citations?hl=en&user=cXhAfX0AAAAJ	https://twitter.com/jsharpna	https://twitter.com/jsharpna	jsharpna																														
143	Chloé Clavel	Telecom-ParisTech	https://scholar.google.com/citations?hl=en&user=TAZbfksAAAAJ	https://twitter.com/ChloeDClavel	https://twitter.com/ChloeDClavel	ChloeClavel	ChloeDClavel	chloecluse	mylittlechamou	telecomparis	tand90																									
144	Junhua Mao	Waymo Inc.	https://scholar.google.com/citations?hl=en&user=j_RaW-QAAAAJ	N/A	N/A	amblijunhua																														
145	Yimin Yang	Florida International University	https://scholar.google.com/citations?hl=en&user=zZ5Sud8AAAAJ	N/A	N/A																															
146	Jinkyoo Park	"Department of Industrial and Systems Engineering, KAIST"	https://scholar.google.com/citations?hl=en&user=sH2a0nkAAAAJ	N/A	N/A																															
147	Tian Lan	George Washington University	https://scholar.google.com/citations?hl=en&user=OWF5r18AAAAJ	N/A	N/A																															
148	Dhafar Hamed Abd	Al-Maaref University College	https://scholar.google.com/citations?hl=en&user=7f62phQAAAAJ	N/A	N/A																															
149	Stéphane Valente	Prophesee	https://scholar.google.com/citations?hl=en&user=Y6mo_C4AAAAJ	N/A	N/A																															
150	Kazuo Ishii	"Professor, Department of Applied Information Engineering, Suwa University of Science"	https://scholar.google.com/citations?hl=en&user=FJo4CP0AAAAJ	https://twitter.com/kazuoishii1	https://twitter.com/kazuoishii1																															
151	Feng Wu 吴枫	University of Science and Technology of China	https://scholar.google.com/citations?hl=en&user=5bInRDEAAAAJ	N/A	N/A																															
152	Robert Andrews	"Senior Research Fellow, Queensland University of Technology"	https://scholar.google.com/citations?hl=en&user=ffknJrMAAAAJ	N/A	N/A																															
153	Mariano Rincón	"artificial intelligence, UNED"	https://scholar.google.com/citations?hl=en&user=-h078YIAAAAJ	N/A	N/A																															
154	C. H. Garcia-Capulin	Universidad de Guanajuato	https://scholar.google.com/citations?hl=en&user=w15pM4YAAAAJ	N/A	N/A																															
155	Jean Morrison	"Assistant Professor, Biostatistics"	https://scholar.google.com/citations?hl=en&user=r6fNZ6cAAAAJ	https://twitter.com/jeanv_morrison	https://twitter.com/jeanv_morrison	jeanv_morrison	jeanfmorrison	morrisonjean1	MorrisonJean1	jeanmheadrick	theparkerlab	jhsiao999	xinhe2	FindYOUwiTHIN																						
156	Ahmed F. Rabbi	Senior Engineer	https://scholar.google.com/citations?hl=en&user=lkN1OMwAAAAJ	N/A	N/A	peterjones2021	BrendaNatala	StopAntisemites																												
157	Ramazan Aygun	Kennesaw State University	https://scholar.google.com/citations?hl=en&user=E19URRIAAAAJ	N/A	N/A	ramazanaygun	ramazanaygun	ramazanaygun	ramazanaygunn	zazaaygun	ramazan09490454	Ramazan37900824	Ramazan37900824	RAMAZANaygn	kennesawstate																					
158	ILYAS CICEKLI	Hacettepe University	https://scholar.google.com/citations?hl=en&user=Q1tqCDQAAAAJ	N/A	N/A	gonencercan	GonencErcan																													
159	Jobst Landgrebe	Managing director at Cognotekt GmbH	https://scholar.google.com/citations?hl=en&user=cFMVHwoAAAAJ	https://mobile.twitter.com/JobstLandgrebe	https://mobile.twitter.com/JobstLandgrebe	JobstLandgrebe	yaleclubla	IrreverendPod	execinsurtech	privacy	health__ag	meta_polimi																								
160	Haoyan Huo	"Department of Material Science and Engineering, University of California at Berkeley"	https://scholar.google.com/citations?hl=en&user=s7pKPacAAAAJ	N/A	N/A	labgeni_us	precisionevolu1	mlstjournal	bitbio	thepeerj	SigSci																									
161	David Bellamy	"PhD Candidate in Epidemiology, Harvard University"	https://scholar.google.com/citations?hl=en&user=IZ-cCF4AAAAJ	https://twitter.com/DavidRBellamy	https://twitter.com/DavidRBellamy	davidbellamy72	davidrbellamy	davbellamy	DavidRBellamy	DavinBellamy17	dbtherapy	DBell_13	causalab	ManxAgriEnviro	BBCBreaking																					
162	Hang Yin	"PhD student, IST, University of Lisbon and EPFL"	https://scholar.google.com/citations?hl=en&user=7VW7URUAAAAJ	N/A	N/A	hang_yin	hang_yin	hang31883361	hyin531	hyin531	Hang_Yin	YINhang50510730	HangNeko	HildaYin	phalanetwork																					
163	Marko Miladinović	"University of Niš, Faculty of Sciences and Mathematics, Serbia"	https://scholar.google.com/citations?hl=en&user=wUNd1iwAAAAJ	N/A	N/A	miladinosaurus	hoki21																													
164	Hannah Rae Kerner	"Assistant Research Professor, University of Maryland at College Park"	https://scholar.google.com/citations?hl=en&user=g5CD7dQAAAAJ	https://twitter.com/hannah_kerner	https://twitter.com/hannah_kerner	hannah_kerner																														
165	Weiya Chen	Huazhong University of Science and Technology	https://scholar.google.com/citations?hl=en&user=RqFaL50AAAAJ	N/A	N/A	weiya2																														
166	Hsiu-Chin Lin	"Assistant Professor, McGill University"	https://scholar.google.com/citations?hl=en&user=ZJo2sPEAAAAJ	N/A	N/A	hsiuchinlin	lin_shaoting																													
167	Ala Suliman	University of New Brunswick	https://scholar.google.com/citations?hl=en&user=CLmEKc4AAAAJ	N/A	N/A	alasuliman7	3la2suleiman	AlaSuliman7	saas14	unbocrc	littleproffy	ftoo7																								
168	Luis Weruaga	CTO at proactivaudio GmbH	https://scholar.google.com/citations?hl=en&user=6yZDBUgAAAAJ	N/A	N/A	lopezmascaraque																														
169	Alan Kennedy	Ulster University	https://scholar.google.com/citations?hl=en&user=zM-RbGIAAAAJ	https://twitter.com/AlanKennedyTJ	https://twitter.com/AlanKennedyTJ	alan_kennedy3	alanmkennedy	alanhkennedy	AlanKennedy3	AlanKennedy3	AlanKennedy3	AlanKennedyTJ	AEAKennedy																							
170	Xiaopeng Chen	"Associate Professor, Beijing Institute of Technology,Visiting Scholar, Carnegie Mellon University,"	https://scholar.google.com/citations?hl=en&user=f0lfcCAAAAAJ	N/A	N/A	xiaopengchen2	cxiaopeng	vincentlu073	chngymgifs																											
171	Motoki Shiga	"Associate Professor, Gifu University, Japan"	https://scholar.google.com/citations?hl=en&user=E6-2toevLjgC	https://twitter.com/mk_Shiga	https://twitter.com/mk_Shiga	mk_shiga	motokiohmorimga	mk_Shiga	motokimaxted	citrine_io																										
172	Ilja Zakharov	Institute for System Programming of RAS	https://scholar.google.com/citations?hl=en&user=nvAuJScAAAAJ	N/A	N/A	ZakharovIlja	ZakharovIlya	ilya101010	zickyboy	Zickyboy	BrilZlian	lisadebruine	maslopyp																							
173	Praveenraj Pattar	Assistant Professor	https://scholar.google.com/citations?hl=en&user=nWJRB9oAAAAJ	N/A	N/A	pattarp69																														
174	Shahrani Shahbudin	Senior Lecturer of Computer Engineering Universiti Teknologi MARA	https://scholar.google.com/citations?hl=en&user=yTMasZsAAAAJ	N/A	N/A																															
175	Akhil Arora	EPFL <= Xerox Research <= IIT Kanpur	https://scholar.google.com/citations?hl=en&user=uCrGCckAAAAJ	https://mobile.twitter.com/aroraakhilcs	https://mobile.twitter.com/aroraakhilcs	akhil_arora	akhil_arora	akhilakhilarora	AkhilAr70472142	_aroraakhil	aroraakhilcs																									
176	Victor Kulikov	Picsart Inc.	https://scholar.google.com/citations?hl=en&user=9WmuhUcAAAAJ	N/A	N/A	viktorkulikov	ViktorKulikov18	Wikky64Viktor	kukudu	passysolomon	bezdoom																									
177	Alexey Karpov	St. Petersburg Federal Research Center of the Russian Academy of Sciences (SPC RAS)	https://scholar.google.com/citations?hl=en&user=Q0C3f1oAAAAJ	N/A	N/A	alexey_karpov	a_karp_	a_karp_	karponemsk	Rammalexeystein	o002om	mission_rf	7456240																							
178	Luchen Tan	University of Waterloo	https://scholar.google.com/citations?hl=en&user=X1DJkzEAAAAJ	https://twitter.com/LuchenTan	https://twitter.com/LuchenTan	tanluchen																														
179	Shuo Zhou	Research Fellow at the University of Melbourne	https://scholar.google.com/citations?hl=en&user=KXqAC8sAAAAJ	N/A	N/A	szhou144	shu0ysauce	thecodexnetwork	iamagco	Cornell_VR	diegoceccarelli																									
180	Hyunjung Shim	"Associate Professor, Yonsei University"	https://scholar.google.com/citations?hl=en&user=KB5XZGIAAAAJ	N/A	N/A	youngjunguh	aquashim																													
181	Pedro Larrañaga	Professor of Artificial Intelligence - Technical University of Madrid	https://scholar.google.com/citations?hl=en&user=iTlD56SV03AC	https://twitter.com/larranagapedro	https://twitter.com/larranagapedro	PedroLarranaga	larranagapedro	LarranagaPedro	protidosalvaje	industrydatasci	wktart	grupocig_upm																								
182	Pavel Blinov	Sber Artificial Intelligence Laboratory	https://scholar.google.com/citations?hl=en&user=WosQ1PAAAAAJ	N/A	N/A	walter88887	satory_l																													
183	Limin Yao	"Wealthfront, Twitter, Umass Amherst"	https://scholar.google.com/citations?hl=en&user=1FtOcrMAAAAJ	N/A	N/A	kdd_news																														
184	Erkki Luuk	Unknown affiliation	https://scholar.google.com/citations?hl=en&user=3JSc8DUAAAAJ	N/A	N/A	keitivilms																														
185	Huy Pham	Aarhus University	https://scholar.google.com/citations?hl=en&user=lDuf0tAAAAAJ	N/A	N/A	huypham4689	huygpham	huy_q12	huydz0309	pghuyy	cloudyfa	Oui_Huy	HuyDNP	junkipenguin	auairlab																					
186	Hongyi Xu	Assistant Professor at Univ. of Connecticut. Previous: Ford R&A; '14 PhD from Northwestern Univ.	https://scholar.google.com/citations?hl=en&user=xjvn4xgAAAAJ	https://twitter.com/researchxu	https://twitter.com/researchxu	xuey85	researchxu	angew_chem	ResearchXu	XUEY85																										
187	Christian Penaloza	Advanced Telecommunications Research Institute - Mirai Innovation Research Institute	https://scholar.google.com/citations?hl=en&user=HMs9iiYAAAAJ	https://twitter.com/penalozajapan	https://twitter.com/penalozajapan	ChristianPena14	christianasian	christianxperu	christian2787	christianj771	penalozajapan	PenalozaJapan	chpesa	tequichela	ocoino																					
188	D. Sculley	"Google, Inc."	https://scholar.google.com/citations?hl=en&user=l_O64B8AAAAJ	N/A	N/A	dscully692	johnsculley	IionaScully	mulder6868	swyx	kaggle	software_daily	googleai	antgoldbloom	tmu																					
189	Katriona Goldmann	"PhD Student, Queen Mary University London"	https://scholar.google.com/citations?hl=en&user=xZMNpDgAAAAJ	https://mobile.twitter.com/_katriona	https://mobile.twitter.com/_katriona	_katriona	leonardo_c25	stelmasara	StelMasara																											
190	Леонид Александрович Гращенко	Институт математики Академии наук Республики Таджикистан	https://scholar.google.com/citations?hl=en&user=Wl55bVwAAAAJ	N/A	N/A																															
191	Ioannis Konstantelos	Research Fellow at Imperial College London	https://scholar.google.com/citations?hl=en&user=BUuMLugAAAAJ	https://twitter.com/ioankonstant	https://twitter.com/ioankonstant	IoanKonstant																														
192	Ricardo Muñoz-Cancino	PhD(c) - University of Chile	https://scholar.google.com/citations?hl=en&user=9qZn8B8AAAAJ	N/A	N/A	danicancinojara	cancinoabog	mmendozarocha	mleon2305	arxiv_cs_LG	chef_zurita																									
193	Akio Tomiya	RIKEN-BNL	https://scholar.google.com/citations?hl=en&user=LKVqy_wAAAAJ	https://twitter.com/akiotomiya	https://twitter.com/akiotomiya	akiotomiya	AkioTomiya	tomiyaakio	akio_physics	_arXiv_hep_lat	_arxiv_hep_lat																									
194	Jinlan Fu	National University of Singapore	https://scholar.google.com/citations?hl=en&user=D4vtw8QAAAAJ	https://twitter.com/jinlanfu	https://twitter.com/jinlanfu	JinlanFu	bigaidream																													
195	Manish Singh	IMS Engineering College Ghaziabad	https://scholar.google.com/citations?hl=en&user=H_52KDcAAAAJ	N/A	N/A	Manish_05Singh	_manish_s	manishship	manishgr81	manishnifty	ManishNifty	ims_noida	refsrc																							
196	Patryk Jarnot	Silesian University of Technology	https://scholar.google.com/citations?hl=en&user=0PqkR4AAAAAJ	N/A	N/A	covid19arxiv																														
197	Xian Sun	"Aerospace Information Research Institute, Chinese Academy of Sciences"	https://scholar.google.com/citations?hl=en&user=xWKPHDYAAAAJ	N/A	N/A	haoxiansun	ilmonensun	IlmonenSun	skrinak	liitomajava	PeterMarber																									
198	Aleksandra Cerekovic	Walmart Global Tech	https://scholar.google.com/citations?hl=en&user=M3_f4UQAAAAJ	N/A	N/A	search																														
199	Kaibin Huang	"Associate Professor, Dept. of EEE, The University of Hong Kong; IEEE Fellow"	https://scholar.google.com/citations?hl=en&user=HfuA3uIAAAAJ	N/A	N/A																															
200	Marco Lützenberger	DAI-Labor	https://scholar.google.com/citations?hl=en&user=3m2amFQAAAAJ	https://twitter.com/berlinLuetze	https://twitter.com/berlinLuetze	jiacnews																														
201	Swanti Satsangi Gupta	Indian Institute of Science	https://scholar.google.com/citations?hl=en&user=IspJCWQAAAAJ	N/A	N/A	akiransatsangi	swati_gs	meenakshig01	kshitiz_raj_dei	AnkurAnmalhotra	palak361	Palak361	adharCA	legallro																						
202	Mushtaq Raza	AWKUM	https://scholar.google.com/citations?hl=en&user=Ev0qyW4AAAAJ	https://twitter.com/uomian49	https://twitter.com/uomian49	mushtaq94014584	mushutaq	Mushtaq61620967	razamushtaq123	smrq_raza	MDmusht55229493	raza_700	Syed_Mushtaaq	razamus45436262	mohammadnawaj																					
203	Cameron Gray	"School of Computer Science and Electronic Engineering, Bangor University"	https://scholar.google.com/citations?hl=en&user=6hwgE1EAAAAJ	N/A	N/A	camerongray1515	cameron_grayy	cameron_m_gray	camerongraycmr	Cameron_Gray	_mrgray	camarator	daveshorts	Younghitta25	parabola																					
204	Sokratis Vavilis	Eindhoven University of Technology	https://scholar.google.com/citations?hl=en&user=UrsCuWcAAAAJ	https://twitter.com/SokratisVav	https://twitter.com/SokratisVav	sokratisvav																														
205	Muh Arif Rahman	Lab komputasi Cerdas Fakultas Ilmu Komputer	https://scholar.google.com/citations?hl=en&user=PYPVMEUAAAAJ	N/A	N/A	arifrahman1538	arifrahman1538	Arifrahman____	MuhArifRahman7	muh_tkjarifjie	arif777	callmearief	nsaidey																							
206	Malek Sarhani	Hamburg University	https://scholar.google.com/citations?hl=en&user=8MnaFUkAAAAJ	https://twitter.com/MalekSarhani	https://twitter.com/MalekSarhani	MalekSarhani																														
207	Olli Lahdenoja	"Ph.D., Senior Researcher at University of Turku and Research Scientist at Precordior Ltd."	https://scholar.google.com/citations?hl=en&user=PazJWEYAAAAJ	N/A	N/A	twitSpidertwit	uniturku																													
208	Bhaskar D Gowda	Intel Corporation	https://scholar.google.com/citations?hl=en&user=VQrbtyAAAAAJ	N/A	N/A	BhaskarGowdaN1	kt_bhaskar	bhaskartheboss3	ajegowda	vijaybhaskar333	munireddybhaski	gurunandanraom	deepolice12	NikhilKGOWDA5	OnePieceTechie																					
209	Martin Urschler	"School of Computer Science, University of Auckland, New Zealand"	https://scholar.google.com/citations?hl=en&user=HKLMeBIAAAAJ	N/A	N/A	darkostern	mlaucklanduni																													
210	Surya Kalia	Indian Institute of Technology Delhi	https://scholar.google.com/citations?hl=en&user=Us9aVAoAAAAJ	https://twitter.com/KaliaSurya	https://twitter.com/KaliaSurya	surya1808198	pranavkalia	akashkalia9	kaliasurya	tejasvi_surya	KaliaSurya	dae82cfaeaa24b6																								
211	Elias Wang	Stanford University	https://scholar.google.com/citations?hl=en&user=KPOjuP0AAAAJ	https://twitter.com/eliaszwang	https://twitter.com/eliaszwang	eliaszwang	EliasWang5	taiyi_wang	eliasmunthali	prophetelias_w	joohahwang	elecalion	EliasHeimisson	stanfordvpue	Tarnov																					
212	Jeffrey Flanigan	"Assistant Professor, University of California Santa Cruz"	https://scholar.google.com/citations?hl=en&user=XpIsORcAAAAJ	N/A	N/A	flannymlb	FlannyMLB	npecom	UCSC_NLP_MS																											
213	Osama Abdel Raouf	"Professor, faculty of computers and information, Menoufia university"	https://scholar.google.com/citations?hl=en&user=xG7ls08AAAAJ	N/A	N/A	AbdelraoufSapry																														
214	mohd naved	"Aligarh Muslim University, Aligarh"	https://scholar.google.com/citations?hl=en&user=aRI1-zoAAAAJ	https://twitter.com/MohdNaved	https://twitter.com/MohdNaved	mohd33naved	mohd33naved	mohdnav95844387	mohdnav95844387	mohdnav95844387	mohdnavedkhan	MohdNaved	naved86984244	MohdNav56717708	navedit																					
215	Fei Xu	"PhD of Electrical Engineering, Tsinghua University. Software Engineering at Google"	https://scholar.google.com/citations?hl=en&user=2VunVGIAAAAJ	N/A	N/A																															
216	Charles Madeira	"Assistant Professor, Universidade Federal do Rio Grande do Norte"	https://scholar.google.com/citations?hl=en&user=UnKwaRcAAAAJ	N/A	N/A																															
217	supawadee chaivivatrakul	"Information Technology, Agriculture Faculty, Ubon Ratchathani University, Thailand"	https://scholar.google.com/citations?hl=en&user=N29lFQEAAAAJ	N/A	N/A																															
218	Samuel Kadoury	Polytechnique Montreal	https://scholar.google.com/citations?hl=en&user=HOov_S8AAAAJ	N/A	N/A	polymtl																														
219	David Widemann	"Researcher, Lawrence Livermore National Laboratory"	https://scholar.google.com/citations?hl=en&user=D3Y_j68AAAAJ	N/A	N/A																															
220	Atsuhiko BANNO	National Institute of Advanced Industrial Science and Technology	https://scholar.google.com/citations?hl=en&user=z0_GAGgAAAAJ	N/A	N/A																															
221	Zhouxia Wang	Sun Yat-sen University	https://scholar.google.com/citations?hl=en&user=JWds_bQAAAAJ	N/A	N/A																															
222	Benjamin J Ainscough	Washington University in Saint Louis	https://scholar.google.com/citations?hl=en&user=XryIpIQAAAAJ	https://twitter.com/b_ains	https://twitter.com/b_ains	joewilderr	githubstatus																													
223	Wesley Snyder	"Professor of Electrical and Computer Engineering, NCSU"	https://scholar.google.com/citations?hl=en&user=I6L2ZnwAAAAJ	N/A	N/A	sneijder101010	adsportwereld																													
224	"William R. Gray-Roncal, Ph.D."	Johns Hopkins University Applied Physics Laboratory	https://scholar.google.com/citations?hl=en&user=54lnkjAAAAAJ	https://twitter.com/WillGrayRoncal	https://twitter.com/WillGrayRoncal	drcoldaddy																														
225	Debarghya Ghoshdastidar	Technical University of Munich	https://scholar.google.com/citations?hl=en&user=Kp-enVQAAAAJ	N/A	N/A	pm_esser	maha81193	ulrikeluxburg																												
226	Vivek Joshi	"GLOBALFOUNDRIES, University of Michigan"	https://scholar.google.com/citations?hl=en&user=fCpa384AAAAJ	https://twitter.com/vivek_jj	https://twitter.com/vivek_jj	vivekjoshi13	viveckjoshi	DrvivekJoshi1	Vivek_Joshi_87	vjoshical	printf_vivekj	mejoshivivek	Vivek1924	persilientvj	mayvar																					
227	Ialis Cavalcante de Paula Junior	"Computer Engineering, Federal University of Ceará - Sobral Campus"	https://scholar.google.com/citations?hl=en&user=GfUVRy8AAAAJ	N/A	N/A																															
228	Davide Gazzè	Prometeia	https://scholar.google.com/citations?hl=en&user=z4IR-aoAAAAJ	N/A	N/A	davidegazze	1962gazze	DavideGiannoni	beggs59																											
229	Raj Bridgelall	"Technology Executive and Principal Investigator, North Dakota State University"	https://scholar.google.com/citations?hl=en&user=bV5JU7QAAAAJ	https://twitter.com/RajBridgelall	https://twitter.com/RajBridgelall	TLGCProgram	vehicles_mdpi	ugpti																												
230	"Jun Cheng, PhD"	"School of Biomedical Engineering, Shenzhen University, China"	https://scholar.google.com/citations?hl=en&user=e9yrvHEAAAAJ	https://twitter.com/jun90cheng	https://twitter.com/jun90cheng	jun90cheng	JunchengGu	Sijin_Cheng	xjunc	haofeicheng	Pris_Cheng	KeChengLab	cuhksbs	tottibenxu	RashmiKVinayak																					
231	Tiago Santana de Nazare	Universidade de São Paulo	https://scholar.google.com/citations?hl=en&user=F-LovigAAAAJ	N/A	N/A	tiago_nunes99	eulaysasantana	tiagojferreira	tiagoomedeiros	TFdeSantana	nazareamarga	trthiago3	nana5833	enfermeiranaza	tsqueiros																					
232	Aznul Qalid Md Sabri	"Department of Artificial Intelligence, Faculty of Computer Science & IT, University Malaya"	https://scholar.google.com/citations?hl=en&user=oX5-84kAAAAJ	N/A	N/A	nanako_ila																														
233	Francesco Bagagli	"Department of Physics, Pisa University - Intecs SPA"	https://scholar.google.com/citations?hl=en&user=8ba7BWEAAAAJ	N/A	N/A	frabagagli1	FraBagagli1	frances79566578	bagagli271043	MarioDiFrances7	alitalia																									
234	Iskandar Sitdikov	IBM Quantum	https://scholar.google.com/citations?hl=en&user=isCe0IgAAAAJ	N/A	N/A	qiskit	TheSequenceAI																													
235	congjian wang	"Computational Nuclear Scientist, Idaho National Lab"	https://scholar.google.com/citations?hl=en&user=_2RO3TcAAAAJ	N/A	N/A	jasonworg																														
236	Zhiguang Liu	Huawei Technologies	https://scholar.google.com/citations?hl=en&user=g8QaB9wAAAAJ	N/A	N/A	xiazhiguangpics	angela_tiwi	yugengyins	zhaoyuecenter	oceansunr1se	hrbmba9																									
237	Indar Sugiarto	"Petra Christian University, Technische Universität München, The University of Manchester"	https://scholar.google.com/citations?hl=en&user=nQr4VywAAAAJ	N/A	N/A																															
238	Sergio Murillo	Wi-Tronix	https://scholar.google.com/citations?hl=en&user=y-igeWMAAAAJ	N/A	N/A																															
239	Wen-Sheng Chu	"Research Scientist, Google"	https://scholar.google.com/citations?hl=en&user=R-OrlSgAAAAJ	N/A	N/A	ak92501																														
240	Gideon Daniel Philipp Alfred Aschwanden	University of Melbourne	https://scholar.google.com/citations?hl=en&user=rGYe5fIAAAAJ	N/A	N/A																															
241	Xiaojuan Qi	"Assistant Professor, The University of Hong Kong"	https://scholar.google.com/citations?hl=en&user=bGn0uacAAAAJ	https://twitter.com/qi_xiaojuan	https://twitter.com/qi_xiaojuan	xiaojuanqi	_xwen_	ctnhkbu																												
242	Zhuchang Zhan	"Phd, Massachusetts Institute of Technology"	https://scholar.google.com/citations?hl=en&user=gGJ6jtMAAAAJ	https://twitter.com/ZhuchangZ	https://twitter.com/ZhuchangZ	zhuchangz	ZhuchangZ																													
243	Marcos Rodrigues	Sheffield Hallam University	https://scholar.google.com/citations?hl=en&user=2UTJ7KQAAAAJ	N/A	N/A	marcoprodrigues	mrodrigues_	marodriguesart	marcosrs	marcos___rp	fkamarcos	MarcosReformed	Markiss98	mafiagro	Saikyokugen																					
244	Thibault Févry	Point72	https://scholar.google.com/citations?hl=en&user=QjeNAUEAAAAJ	https://twitter.com/iwontbecreative	https://twitter.com/iwontbecreative	iwontbecreative																														
245	Yanqing Chen	Stony Brook University	https://scholar.google.com/citations?hl=en&user=9GncT08AAAAJ	N/A	N/A	yanqingchen92																														
246	Stefan Wager	"Graduate School of Business, Stanford University"	https://scholar.google.com/citations?hl=en&user=_koixUEAAAAJ	N/A	N/A	stefanleviw	snarra88	stanfordnlp	deaneckles	nberpubs	WomenInStat	nikosignatiadis	h2oai	b0e82d6d776c488	cornelldsds																					
247	Rajendra Panda	"Geosystems Research Institute, Mississippi State University, USA"	https://scholar.google.com/citations?hl=en&user=0lJpXSsAAAAJ	N/A	N/A	rajendra15panda	Rajendra15panda	rajendra6a9ia	rajendra7251	rajendr37224649	rajendr37224649	rajendr37224649	nprajendra	pandraje	RAJENDR94691670																					
248	Ji Hyung Hong	"College of Medicine, The Catholic University of Korea"	https://scholar.google.com/citations?hl=en&user=_Z5wpjkAAAAJ	https://twitter.com/SuddenHonG	https://twitter.com/SuddenHonG	jihyunradonc	silly_symphony	JihyunReadsYAL	Laurarous	ladyrael	kdramatreats																									
